,genes,values
0,C1GALT1,-7.5398774
1,MEIS1,-3.6124797
2,ERBB2,0.61833864
3,GDA,3.1281831
4,DDX23,2.5971262
5,SFRP4,-0.44577992
6,ZNF430,3.2796183
7,ATP2B3,1.446484
8,GRM7,-0.08658124
9,ALDH1L1,1.4008565
10,HTR2B,-0.4303728
11,UBA52,11.869456
12,ATR,0.22422051
13,ZNF317,2.8006516
14,PPCS,5.8358445
15,VMP1,1.5661453
16,INHBB,-8.942101
17,PLCH2,-2.8811197
18,HERC1,1.8127233
19,TTC37,1.026217
20,ATIC,-7.597601
21,CXCR5,3.9835296
22,RASGRP1,2.1341355
23,ZNF528,-1.0475482
24,KCNQ2,2.3808198
25,CHSY1,1.682227
26,MASP1,1.3964299
27,PROS1,-0.07390306
28,RRP7A,-0.52208304
29,ATG9A,2.125673
30,PLA2G4F,20.261995
31,MAN1B1,2.3085234
32,DCTN1,0.14198671
33,NCOA1,-4.5389442
34,CNOT1,-1.2505125
35,CCNB3,-3.5170853
36,HEXA,10.250018
37,CARD16,-1.949635
38,TAOK1,0.31500277
39,CA6,-2.7543874
40,POFUT2,-2.8010209
41,CST5,0.7575114
42,SIRT1,-0.5993498
43,ACSS2,6.736597
44,CARD10,1.5760214
45,EEA1,-0.64619845
46,HERC4,-3.6284728
47,KIF22,-1.3090422
48,TRPC3,4.8563876
49,KRT10,-1.8621043
50,FBP2,-2.534359
51,HSP90B1,-7.542771
52,ATP6V1A,-12.943291
53,HTR6,-7.230918
54,PLK3,4.814163
55,REL,2.5076933
56,CHD8,0.017444579
57,KSR1,-7.486889
58,OR7A5,-2.3406978
59,CNGB3,2.1950207
60,HNRNPA3,1.8580484
61,KIR2DL4,-3.9867344
62,MRPS6,9.514071
63,PTGR1,-2.245047
64,AIM2,1.3973109
65,PIK3R3,-3.9569294
66,SRP9,6.255591
67,TAS2R20,0.938005
68,SP1,-1.0236014
69,MBL2,-1.0101823
70,PLA1A,9.898933
