,genes,values
0,hsa-mir-125b-1,-0.9688768
1,hsa-mir-935,0.9672265
2,hsa-mir-3143,0.15025666
3,hsa-mir-543,-0.40456483
4,hsa-let-7c,0.8514204
5,hsa-mir-137,-0.22503343
6,hsa-mir-4707,0.058653608
7,hsa-mir-5090,0.00067456387
8,hsa-mir-5001,-0.07346019
9,hsa-mir-370,-0.0025582167
10,hsa-mir-1260b,-0.06349438
11,hsa-mir-612,0.40884912
12,hsa-mir-4424,-0.19201791
13,hsa-mir-214,-1.021468
14,hsa-mir-466,-0.019477874
15,hsa-mir-455,-0.65606874
16,hsa-mir-758,-0.058889687
17,hsa-mir-3667,0.20963594
18,hsa-mir-143,-0.42200997
19,hsa-mir-4685,0.11435958
20,hsa-mir-95,-0.011500425
21,hsa-mir-127,-0.3266948
22,hsa-mir-216b,-0.22264372
23,hsa-mir-5193,0.059703734
24,hsa-mir-3117,-0.120973796
25,hsa-mir-3943,-0.008530951
26,hsa-mir-659,-0.3731862
27,hsa-mir-655,-0.33596197
28,hsa-mir-380,0.16279998
29,hsa-mir-3144,0.21653749
30,hsa-mir-154,0.11588481
31,hsa-mir-4449,0.108214654
32,hsa-mir-337,0.13137339
33,hsa-mir-3662,-0.5747104
34,hsa-mir-561,-0.00725429
35,hsa-mir-92b,-0.6061816
36,hsa-mir-506,-0.22726983
37,hsa-mir-548y,0.7238619
38,hsa-mir-1911,0.044932913
39,hsa-mir-4521,0.5212577
40,hsa-mir-410,0.092006624
41,hsa-mir-409,-0.6042116
42,hsa-mir-1185-2,-0.054580737
43,hsa-mir-379,0.27469662
44,hsa-mir-658,0.03725312
45,hsa-mir-1305,-0.45417398
46,hsa-mir-1294,-0.39858252
47,hsa-mir-4454,0.04136196
48,hsa-mir-584,0.18013805
49,hsa-mir-134,-0.6550188
50,hsa-mir-4691,-0.32571828
51,hsa-mir-889,0.23255503
52,hsa-mir-199b,-0.13472928
53,hsa-mir-125b-2,0.34331685
54,hsa-mir-1237,-0.0008136481
55,hsa-mir-1269a,0.117188394
56,hsa-mir-133b,-0.27479303
57,hsa-mir-548l,-0.30167392
58,hsa-mir-4524a,0.63266146
59,hsa-mir-382,-0.6274608
60,hsa-mir-487a,0.63701725
61,hsa-mir-4733,0.13253228
62,hsa-mir-299,0.44252318
63,hsa-mir-411,-1.5848126
64,hsa-mir-654,-0.66333395
65,hsa-mir-3622a,0.0010464158
66,hsa-mir-494,1.5478017
67,hsa-mir-539,-0.6250653
68,hsa-mir-1295a,0.2835588
69,hsa-mir-577,0.35608295
70,hsa-mir-377,-0.69518113
71,hsa-mir-1245a,-0.088263564
72,hsa-mir-485,-0.44706747
73,hsa-mir-99a,-0.53430694
74,hsa-mir-4742,0.33997867
75,hsa-mir-513c,0.2572027
76,hsa-mir-641,0.13210502
77,hsa-mir-1185-1,0.21308391
78,hsa-mir-495,0.04958685
79,hsa-mir-489,-0.9280421
80,hsa-mir-615,-0.44785282
81,hsa-mir-152,0.6389223
82,hsa-mir-431,0.52814645
83,hsa-mir-4802,0.04832132
84,hsa-mir-190b,-0.7467878
85,hsa-mir-3150a,-0.063557886
86,hsa-mir-3140,-0.7021738
87,hsa-mir-551a,-0.19865222
88,hsa-mir-665,0.6104421
89,hsa-mir-493,0.65012395
90,hsa-mir-323a,-0.4665622
91,hsa-mir-432,-0.009326232
92,hsa-mir-541,0.5862293
93,hsa-mir-345,-0.6732722
94,hsa-mir-369,-0.15725704
95,hsa-mir-224,-1.6525134
96,hsa-mir-487b,0.164922
97,hsa-mir-5699,-0.20080622
98,hsa-mir-873,0.94714236
99,hsa-mir-4423,0.11589524
