,genes,values
0,MMP2,-3.6101096
1,AP3S1,1.1548234
2,IFNG,13.761538
3,NOS2,-22.691872
4,MOCS3,0.34760416
5,ZNF224,3.2663112
6,HPGD,-4.5759716
7,NFATC1,7.372047
8,ACTN3,4.767731
9,PIKFYVE,3.5716329
10,RNF31,2.039503
11,UBE3C,-4.1060023
12,EPS15,-2.6814833
13,ZNF257,2.957183
14,ATG2A,-1.1316353
15,OR5K4,2.9451876
16,DUSP8,2.837307
17,PLCH2,2.3422897
18,TNFRSF11A,7.546486
19,TAOK2,-0.79266006
20,EPHA4,5.420575
21,PRKAB2,-0.6914947
22,ACAD8,0.58820635
23,ASAP2,4.2866073
24,CD27,2.069303
25,DOCK4,-1.9471041
26,MLH3,-4.4279413
27,SLC45A3,-12.912003
28,MTMR2,4.090748
29,PRPF40A,4.868373
30,SH3GL3,1.7110094
31,OR5K1,3.319746
32,BDH1,0.585948
33,DES,1.3242831
34,OR5B17,-1.6987649
35,GRIA1,-1.0829688
36,KCNQ4,-4.1374183
37,ZNF814,-2.8691688
38,CYP1A1,0.8013673
39,ZNF746,-0.98455966
40,FLT1,5.75661
41,HSPG2,-11.863468
42,IL20RA,-12.395957
43,CHRM3,-25.527615
44,CYP39A1,14.423421
45,OR14A16,1.9246674
46,HRH3,-1.4633616
47,IL6R,5.136285
48,PGK2,-9.669778
49,PSMF1,4.0189896
50,ZNF484,-1.1422782
51,CHEK1,-12.458156
52,PGM3,-0.22763819
53,OR8I2,-2.1524425
54,OR10C1,1.6386888
55,RBMX,-8.97431
56,CAMK1G,8.703424
57,SCN2A,-3.0697436
58,GAST,3.4437118
59,MLLT3,0.2920997
60,SLC17A6,2.3849356
61,SH3GL1,-3.5786588
62,HERC4,8.892823
63,VCAN,0.99044794
64,CDKN1B,21.254368
65,OR5L2,-1.3344064
66,NDUFA10,-20.577143
67,SH2B3,2.9382906
68,CNGA4,-10.93771
69,HAAO,-1.3451011
70,GNB4,0.17376167
71,PABPC1L2B,-4.363738
72,SLC39A4,-7.6418033
73,CDKN2C,18.54338
74,PABPC1,1.8189844
75,TUSC3,-9.07012
76,VAMP3,-15.633795
77,MOS,27.142984
78,POLE2,-1.1955256
79,FUT3,0.58186066
80,NTRK2,-3.9145837
81,SLC10A1,-1.2739793
82,UGT2B15,-4.3669996
83,FLT3,9.841905
84,SLC40A1,4.577636
85,CUL2,10.514508
86,KRT33A,-3.0466387
87,MYO10,8.616724
88,RPL22,0.31761336
89,ACTR3B,15.784088
90,GLO1,-0.40714905
91,INPP5E,-4.017173
92,CYP3A7,1.2996013
93,KAT2B,0.6974401
94,B3GNT5,-4.544309
95,ADRA2C,3.22781
96,NUP210L,-4.2323513
97,SLC3A2,10.320993
98,PSMD1,-6.3632045
99,BRK1,-3.119698
100,TAOK1,-0.08948818
101,GAA,5.4490223
102,CACNA1B,-15.590108
103,ZFYVE1,0.02060221
104,NRG1,7.6982927
105,CTSK,-26.86338
106,CD80,14.610687
107,COX5A,-0.291803
108,P2RY1,6.786159
109,ADI1,-9.113048
110,NCOA7,-0.39346555
111,TPH2,-11.361352
112,SYNPO,0.25568378
113,MGAT4C,0.9482579
114,UBOX5,2.80658
115,LANCL1,0.39536536
116,TNNT2,13.082353
117,IRF9,-3.6430151
118,HTR3E,-3.5137281
119,P2RY4,5.1467996
120,SCNN1A,0.68551767
121,ZNF426,-3.1351407
122,CD79B,-0.5921627
123,TBX3,2.7983003
124,CHRNA9,7.4284573
125,SHANK2,-0.63331985
126,PARP2,3.8845754
127,CD1D,3.3033774
128,TP53,13.1322775
129,SLC44A1,7.328437
130,OR2T34,2.0610778
131,ZNF225,0.11719394
132,B4GALT5,6.921476
133,EHMT1,-10.054917
134,MRPL28,0.12558293
135,ZNF3,1.4129711
136,TARS2,-16.020279
137,KIR3DL2,6.127835
138,PGK1,-5.2351727
139,SPOP,-1.6594497
140,HHIP,13.264933
141,CACNA1H,-9.932493
142,OR10G2,3.594555
143,IL13RA1,-0.12522653
144,NLGN2,7.746231
145,PLXNB3,0.648116
146,CFL1,0.57323986
147,PSMC2,-6.490604
148,ZNF785,2.1398869
149,SCN7A,-12.286681
150,DAB2IP,14.614059
151,DNAJA2,2.4280639
152,ATP1A2,4.1526346
153,ST6GALNAC3,-6.788045
154,IRAK1,-17.11012
155,MYO1F,3.864906
156,CUL3,1.6581119
157,SMPD4,-2.707372
158,P4HA2,1.4591153
159,BIRC5,13.561384
160,THBS3,-4.8556337
161,ABCA8,-0.87050873
162,SEMA3F,-13.09217
163,FBN1,-2.9531002
164,CFHR5,-0.568479
165,SERPINB2,0.5251405
166,EIF2AK2,1.5828139
167,MTNR1B,3.4642246
168,ZNF302,0.049778517
169,RPL4,0.30544862
170,DICER1,6.1483226
171,PLA2G3,5.342315
172,TPM1,15.378707
173,ZNF823,1.971433
174,ZNF83,0.6013282
175,EIF2AK1,-4.10509
176,MPDZ,-0.447624
177,CHRM4,-10.786641
178,RAPGEF2,-11.282059
179,LAMA1,-9.535771
180,SCIN,-8.348784
181,CACNA1E,12.813621
182,NMUR2,1.2806327
183,SIGLEC1,5.533966
184,ZNF565,2.5904148
185,CTSS,1.979261
186,SEC23A,6.728515
187,IARS2,-5.636768
188,PAICS,2.2531278
189,CUL4B,-2.7212176
190,RXRB,-1.8154932
191,ZNF317,1.7028829
192,MLLT1,-5.923373
193,PPP2R3A,-45.975933
194,ITPR3,4.5577817
195,SEC31B,-9.1899395
196,CAMKK2,1.0900581
197,DNM3,5.36135
198,ANTXR2,0.42685935
199,SLX4,-3.3365016
200,GGT5,-0.48352677
201,OR4K17,-2.585279
202,SYF2,-13.446547
203,ACAP1,2.187185
204,DKK2,5.644132
205,GNPTG,-1.6188694
206,PHKA2,2.9798121
207,NF1,14.7997465
208,NPC1,-0.21393429
209,IGSF1,6.031623
210,RYR3,-1.8048362
211,FHL1,-13.143084
212,PCGF2,0.61886346
213,PSMB11,1.7712301
214,CD8B,10.939879
215,PRPF38B,10.7730255
216,CLDN2,-1.1041303
217,RAB31,-1.6667308
218,NEIL3,0.13151395
219,TRPM8,-0.70708203
220,ARAP2,-3.5742
221,DDX39B,-9.782149
222,FXN,1.4946015
223,RASA1,25.16628
224,BCAT1,-1.8372175
225,OR8K3,-2.977477
226,CBLB,4.249726
227,ZNF91,3.2760239
228,TSLP,9.52081
229,CNGB1,-25.320337
230,DNAJC1,7.278834
231,THBD,3.272066
232,LYN,21.83932
233,NGFR,-13.666591
234,SLC9A3,-24.99701
235,DTX3,0.43085337
236,MAP4K1,-2.9998486
237,RALGDS,13.709076
238,IKBKB,6.9807963
239,CALR,-1.0609933
240,OR10K1,2.586493
241,MYO5B,-3.9177372
242,PIGM,13.0624895
243,P4HA3,0.35175633
244,GDF2,2.1565092
245,TUBA3D,13.020971
246,ERBB2,-3.3991563
247,ZNF417,1.301497
248,NGLY1,-0.5457752
249,SOCS6,-13.373588
250,AKT2,-7.4821706
251,TRPM2,-0.45947224
252,LAMC1,2.5057817
253,THOC1,-2.9561539
254,TLR3,-25.60403
255,TRPV1,2.8805747
256,HMGB1,-0.06825571
257,IL21R,9.977029
258,PIDD1,4.1607866
259,ZEB1,-0.4516169
260,OR1K1,-3.3801875
261,ARFGEF2,3.5345848
262,RPS3A,-0.37777078
263,SEMA6B,-17.479572
264,CDH5,13.467724
265,PKN3,18.273108
266,MRPS2,0.02614465
267,NR1H4,-4.194997
268,ARHGAP10,0.37803218
269,TRPM6,-0.25845718
270,OR9I1,-2.501611
271,MYH6,-0.45202035
272,EZR,22.17065
273,MEFV,2.9431052
274,RBM17,-5.033745
275,CCR7,0.51037383
276,LCAT,-1.7108837
277,H6PD,-2.4166076
278,XCL2,-1.1726106
279,ST8SIA5,7.6802106
280,MYO1B,-1.1918612
281,ENTPD1,2.996033
282,ERCC2,2.5300484
283,PNLIPRP1,10.738085
284,ITGB3,-6.454717
285,POLA1,0.30735675
286,CD209,-4.768421
287,NPAS2,-3.9466972
288,GSTK1,6.0862613
289,UBE2K,3.0570774
290,ATM,-5.756358
291,CXCR4,-5.7495737
292,COX7A2L,2.635917
293,LYNX1,9.927024
294,KRT33B,-16.064714
295,ECSIT,-0.008293625
296,TECR,4.9463735
297,FCAR,-6.9545984
298,ARHGEF18,-1.1397163
299,ACSBG2,12.299697
300,VWF,-8.00998
301,FAHD1,-5.7381935
302,OR1C1,2.898325
303,ATXN1,7.7046504
304,SNX12,1.3535453
305,CACNA1F,9.479482
306,TH,5.5647454
307,PIGK,-8.616328
308,CDH2,-6.8724437
309,SLC19A2,-7.370321
310,TNFRSF19,3.8708222
311,MCAT,-2.2841573
312,NRG2,16.861818
313,COL20A1,3.6354375
314,SRSF3,6.683923
315,UST,-2.3757472
316,HCLS1,11.583777
317,PIK3CB,7.5165167
318,ATG14,8.545644
319,ARHGEF4,-0.4248694
320,MRPL17,0.25520647
321,GTF2H1,3.9193697
322,ACSM2A,2.662839
323,DCTD,1.3714088
324,SIN3A,12.877972
325,HARS2,-11.41229
326,LDHAL6A,7.1981745
327,PDE4B,-15.973306
328,AICDA,-0.08359183
329,CCR8,-1.7171056
330,ASMT,-0.18528321
331,RANBP3,2.624185
332,HTR1E,9.326829
333,CANX,-14.547916
334,CYP2E1,24.53632
335,MYLK3,12.404157
336,MC5R,-5.718303
337,NPFFR1,1.6343654
338,DGKA,-11.693527
339,HCAR2,2.9799554
340,TAP1,-0.9076757
341,OR2H2,0.27466217
342,RGS9,7.920121
343,NRXN1,-6.450244
344,POPDC2,-11.048145
345,ZNF383,3.4238498
346,PALB2,-1.9276062
347,ZNF768,2.4588401
348,DLL3,-4.0944996
349,SORT1,-2.9469867
350,TBK1,14.980235
351,FANCM,-1.6312855
352,BRCC3,3.312701
353,TM7SF2,1.2179945
354,BLNK,-25.824274
355,KCNJ12,3.5496204
356,FANCI,-4.852735
357,SEC61A1,4.100565
358,CYP4F3,2.4944
359,AVPR2,-9.087277
360,SSH3,10.173775
361,RPL10A,-0.18480903
362,DPYSL5,2.4164424
363,SRRM1,3.8825972
364,MYLK2,9.107863
365,NDUFS7,-14.1959095
366,RIF1,4.654018
367,WEE1,3.899967
368,MAP3K12,2.1204603
369,GFAP,-0.68081677
370,RBSN,-2.102431
371,TST,-19.384054
372,DUOX2,0.59727645
373,CHPT1,1.6783794
374,CTU2,-1.8346562
375,ZNF415,-3.3035808
376,UNC5A,9.190834
377,GGA2,0.64912254
378,TAB3,-11.48764
379,BDNF,5.755877
380,DDX3X,-1.6014552
381,SLC33A1,3.9929438
382,AMPH,-10.175423
383,LAMC3,13.55784
384,CD81,-0.10060479
385,EPHB1,17.98773
386,HPSE,-4.480454
387,VSIG4,3.1030185
388,GSTM3,-2.0391846
389,TARDBP,8.942591
390,CAB39,-9.568047
391,ICA1,4.8562117
392,B2M,-1.811325
393,ANAPC11,-5.634818
394,MPO,-13.995962
395,KRT23,19.767677
396,HNRNPA3,20.521841
397,MOCS2,-1.4668667
398,CD99,5.766123
399,GYS1,-17.508974
400,KNG1,0.80202746
401,ITGAE,-0.95551497
402,COL6A5,-2.6201322
403,ABCG1,5.122655
404,UBA1,-2.8502054
405,GNA15,-0.37945446
406,IST1,-0.53802407
407,DEPDC5,7.248528
408,POP1,0.5345099
409,RPS6KB1,23.709883
410,FARSA,-8.107803
411,PF4V1,-2.8013833
412,BMPR1A,0.76222825
413,TRA2B,5.158784
414,OR10A6,1.8775027
415,PTH2R,-4.7257347
416,AQP2,1.9964644
417,NPY1R,22.603987
418,SOX4,1.2870244
419,PARVB,3.7513428
420,TELO2,1.4933331
421,SF3B2,-5.479894
422,CARD16,0.30811313
423,DNAH11,-1.3715954
424,TOP3B,-4.262818
425,OR10G9,-2.3406017
426,MGAT5B,1.748652
427,XPO1,-3.428428
428,MPV17L,2.199375
429,CCR9,-2.3812943
430,GPAA1,9.016722
431,SLC38A2,15.40687
432,CYP4F8,-5.4596944
433,SLC24A4,-0.088884905
434,B3GALT6,4.3985996
435,GALNT18,-0.2838513
436,HHAT,1.1839148
437,ZNF780B,-0.24099487
438,LAMA3,-16.785492
439,TNN,-21.408518
440,WNT5A,2.31241
441,ZNF556,-3.2970219
442,DGAT2,3.7898371
