,genes,values
0,SIRT7,-2.6382966
1,ME1,6.628827
2,TNFRSF17,-4.00569
3,TGFA,-0.54371285
4,SNRPD3,12.944253
5,UTS2B,0.030544685
6,PIGA,-16.121286
7,IFNG,40.457935
8,IL18RAP,-12.8125
9,TRIM37,-3.157287
10,RPS5,2.6965845
11,ZNF224,0.17241947
12,ME2,-12.850274
13,GLCE,8.374254
14,TLE3,18.412762
15,CDC25C,-15.950049
16,SDHB,-10.905222
17,SFN,-10.178263
18,SRSF7,-13.800809
19,THEM4,-4.200932
20,DTYMK,-0.58293283
21,P2RY2,0.5515971
22,PLCH2,-6.7591934
23,ZNF836,0.11929973
24,ZNF354A,-0.21733437
25,SMURF2,-12.351191
26,SNAP29,-8.245092
27,SUMO1,-2.232325
28,IL7R,-3.3957841
29,CCNE2,-4.6212296
30,PRH1,8.7337
31,RICTOR,-2.7172184
32,NT5C3A,6.8660226
33,CST5,0.18617465
34,BRAP,19.012299
35,CDKN2A,-0.37604445
36,ZNF814,0.14228824
37,P2RX7,-7.6800804
38,RAD51,17.592749
39,UBE2E2,1.1937556
40,RAD54L,5.009753
41,ZNF200,-0.007884278
42,ZNF248,0.073014475
43,ZNF746,-0.21079317
44,PER2,-8.015279
45,CYP39A1,-2.9196577
46,RPL36A,-10.027175
47,CYBA,-4.555104
48,TFAP4,2.2627664
49,PCNA,-9.899317
50,IPO11,-1.3564242
51,CHEK1,-1.3094053
52,PDE9A,-3.7439702
53,RBMX,8.923531
54,CAMK1G,-3.8857281
55,NAT10,-7.3062234
56,ZNF514,-0.08053594
57,COL5A3,-2.8362498
58,COL9A2,-5.1396537
59,SFRP2,-5.308937
60,TAT,67.77775
61,UCK2,10.811182
62,INPP4A,29.052313
63,GPR35,-0.6413292
64,PPBP,12.169582
65,TXN,-10.5531025
66,PAFAH1B3,8.835201
67,MYO1A,-0.17369488
68,SEMA4F,1.1853068
69,SNRPA,-2.5984855
70,SMC1B,-15.7882395
71,CDKN2C,-18.961927
72,UGGT1,10.785153
73,BMP5,-6.0937324
74,CYP26A1,3.030822
75,IL27RA,-7.6322117
76,ATP6V0A2,-25.654198
77,ZNF829,-0.140344
78,LYPD6,0.9454496
79,INVS,1.4415172
80,TG,2.7727616
81,RPL10,-3.9581132
82,POLE2,5.085595
83,ZNF878,0.051231652
84,ZNF566,0.03616287
85,PLK1,1.2260913
86,CDC20,-10.144692
87,NTRK2,0.23264226
88,THOC7,2.4856467
89,SUMO2,1.2285808
90,STX19,15.729992
91,FLT3,-6.8944926
92,CUL2,-14.431225
93,CAB39L,-5.5292916
94,ONECUT1,-3.2025726
95,MED24,18.632818
96,CPS1,-32.39569
97,RAP1GAP,5.668882
98,RUFY2,0.920692
99,FANCE,-1.4887468
100,PLCB1,-54.841385
101,KCNJ11,-6.8282614
102,CYP3A7,-4.5350804
103,CDC25B,20.228548
104,MUC5B,4.392837
105,FLNC,8.411943
106,STAG3,0.72537726
107,LSM5,-1.760112
