,genes,values
0,hsa-mir-149,2.1505885
1,hsa-mir-3622a,-0.032088503
2,hsa-mir-658,-0.101660386
3,hsa-mir-887,-2.43665
4,hsa-mir-25,-1.6121869
5,hsa-mir-4705,0.5706585
6,hsa-mir-552,0.26887435
7,hsa-mir-495,1.8006856
8,hsa-mir-483,9.997605
9,hsa-mir-193a,-0.80523556
10,hsa-mir-211,-0.26065007
11,hsa-mir-520b,2.8057892
12,hsa-mir-3928,-0.109928906
13,hsa-mir-551b,-0.2313575
14,hsa-mir-1179,-0.4204493
15,hsa-mir-187,0.026640749
16,hsa-mir-548s,-0.36846164
17,hsa-mir-1266,0.55702233
18,hsa-mir-3614,-0.7928492
19,hsa-mir-607,-1.1881955
20,hsa-mir-525,1.8789845
21,hsa-mir-7-2,-1.2176361
22,hsa-mir-3127,0.8898829
23,hsa-mir-3138,-0.068474844
24,hsa-mir-3677,0.24404979
25,hsa-mir-23c,-4.7244368
26,hsa-mir-1537,-1.1930078
27,hsa-mir-190b,0.08425734
28,hsa-mir-377,-1.3817197
29,hsa-mir-504,1.2500432
30,hsa-mir-4524a,5.1149473
31,hsa-mir-548k,4.1139827
32,hsa-mir-5090,-0.048766997
33,hsa-mir-33b,0.2458243
34,hsa-mir-548au,-2.4524527
35,hsa-mir-204,3.4735465
36,hsa-mir-1306,-1.1768221
37,hsa-mir-2116,-0.55206114
38,hsa-mir-520e,-2.0142272
39,hsa-mir-3934,-5.5280466
40,hsa-let-7d,-2.5924964
41,hsa-mir-491,2.09524
42,hsa-mir-4491,1.0097208
43,hsa-mir-1292,-2.3066587
44,hsa-mir-18a,-1.2972835
45,hsa-mir-590,-8.076007
46,hsa-mir-33a,4.3028793
47,hsa-mir-628,7.81723
48,hsa-let-7g,-4.0148706
49,hsa-mir-4766,0.9852087
50,hsa-mir-373,1.1967218
51,hsa-mir-125b-1,5.377504
52,hsa-mir-4691,-1.3429719
53,hsa-mir-4745,0.42150378
54,hsa-mir-22,-10.416393
55,hsa-mir-3611,-0.7244267
56,hsa-mir-490,-1.7454746
57,hsa-mir-624,6.0565066
58,hsa-mir-378i,3.7517304
59,hsa-mir-3064,-0.7293123
60,hsa-mir-197,-1.3150401
61,hsa-mir-216a,0.18015712
62,hsa-mir-582,-6.8596964
63,hsa-mir-4791,2.760375
64,hsa-mir-4676,-0.33345973
65,hsa-mir-518b,-2.5277243
66,hsa-mir-636,-1.074299
67,hsa-mir-519d,2.6585848
68,hsa-mir-4772,-0.21684341
69,hsa-mir-4632,-0.03229406
70,hsa-mir-1224,-2.1246135
71,hsa-mir-136,-10.343387
72,hsa-mir-1303,6.329067
73,hsa-mir-527,3.043372
74,hsa-mir-765,-2.3247793
75,hsa-mir-3691,-0.79809904
76,hsa-mir-3177,0.9045734
77,hsa-mir-1915,-7.873942
78,hsa-mir-4473,1.519905
79,hsa-mir-326,3.319488
80,hsa-mir-3176,-3.767957
81,hsa-mir-3682,2.3575323
82,hsa-mir-301a,5.862785
83,hsa-mir-548b,-8.577405
84,hsa-mir-802,-2.0607045
85,hsa-mir-579,-3.5283842
86,hsa-mir-5699,3.1474566
87,hsa-mir-1249,2.0706549
88,hsa-mir-3615,1.3910543
89,hsa-mir-1277,2.0900354
90,hsa-mir-190a,-5.0201917
91,hsa-mir-1247,-0.6295606
92,hsa-mir-520d,-7.0423484
93,hsa-mir-519c,0.6982857
94,hsa-mir-522,1.4948812
95,hsa-mir-520a,5.018193
96,hsa-mir-2114,-0.1951238
97,hsa-mir-339,6.865296
98,hsa-mir-641,4.315866
99,hsa-mir-106a,-10.97833
100,hsa-mir-3174,4.246617
101,hsa-mir-4484,0.86438215
102,hsa-mir-493,2.3301566
103,hsa-mir-150,7.647026
104,hsa-mir-139,2.0728707
105,hsa-mir-380,1.6439157
106,hsa-mir-107,7.769566
107,hsa-mir-4685,1.2046344
108,hsa-mir-154,-5.9080324
109,hsa-mir-2115,0.09292708
110,hsa-mir-627,3.0314536
111,hsa-mir-1276,0.48501223
112,hsa-mir-589,-6.2630363
113,hsa-mir-5586,-3.699004
114,hsa-mir-3651,-3.9301932
115,hsa-mir-518f,1.1001828
116,hsa-mir-1256,1.8628521
117,hsa-mir-4733,-4.1908903
118,hsa-mir-597,-1.924619
119,hsa-mir-488,0.8407756
120,hsa-mir-561,-4.69594
121,hsa-mir-3909,-0.85593605
122,hsa-mir-3923,0.45490217
123,hsa-mir-4677,-1.4414653
124,hsa-mir-1296,-0.0053451494
125,hsa-mir-454,-2.3503263
126,hsa-mir-3074,1.867895
127,hsa-mir-3653,5.5430923
128,hsa-mir-508,-6.9157147
129,hsa-mir-642a,-1.7395704
130,hsa-mir-3662,-4.9927044
131,hsa-mir-520g,-1.0023955
132,hsa-mir-135b,2.4009693
133,hsa-mir-3187,2.833072
134,hsa-mir-3140,-0.21539877
135,hsa-mir-3679,1.9506779
136,hsa-mir-520f,-1.3159465
137,hsa-mir-186,3.3584874
138,hsa-mir-4707,-1.0287642
139,hsa-mir-518e,0.7821652
140,hsa-mir-632,-0.8088884
141,hsa-mir-1914,-2.5408876
142,hsa-mir-548e,1.3104123
143,hsa-mir-3144,2.3619838
144,hsa-mir-550a-3,0.9830188
145,hsa-mir-98,-1.1034833
146,hsa-mir-217,2.714892
147,hsa-mir-1295a,4.6807995
148,hsa-mir-548o,-0.5950425
149,hsa-mir-3940,-0.349279
150,hsa-mir-206,4.2277927
151,hsa-mir-580,2.9241195
152,hsa-mir-548y,-2.0620327
153,hsa-mir-520c,0.16427447
154,hsa-mir-1269b,0.17939427
155,hsa-mir-216b,-0.92938346
156,hsa-mir-643,4.1699877
157,hsa-mir-4286,2.0577667
158,hsa-mir-3609,-3.6131594
