,genes,values
0,MMP2,3.8577113
1,AP3S1,1.4897496
2,IFNG,13.831054
3,NOS2,-2.8151004
4,MOCS3,2.9680698
5,ZNF224,3.9107316
6,HPGD,3.1860833
7,NFATC1,7.7023654
8,ACTN3,-0.008215639
9,PIKFYVE,7.8531394
10,RNF31,-0.22405374
11,UBE3C,-1.0910114
12,EPS15,-3.0062325
13,ZNF257,0.38427714
14,ATG2A,1.2284695
15,OR5K4,0.36340696
16,DUSP8,2.3381522
17,PLCH2,4.084173
18,TNFRSF11A,0.59044176
19,TAOK2,-2.3087626
20,EPHA4,0.6183832
21,PRKAB2,2.8931332
22,ACAD8,-4.481178
23,ASAP2,2.6989892
24,CD27,1.5809406
25,DOCK4,-0.25473067
26,MLH3,-3.4479473
27,SLC45A3,2.0020208
28,MTMR2,-4.963053
29,PRPF40A,0.9818268
30,SH3GL3,-1.2530454
31,OR5K1,1.642367
32,BDH1,5.7619424
33,DES,-0.09605534
34,OR5B17,-0.96212125
35,GRIA1,1.0918176
36,KCNQ4,-0.20500709
37,ZNF814,2.1258137
38,CYP1A1,-1.6670419
39,ZNF746,5.333216
40,FLT1,-1.8877888
41,HSPG2,-1.5131896
42,IL20RA,-4.2904863
43,CHRM3,-0.13403746
44,CYP39A1,0.752805
45,OR14A16,-0.72094274
46,HRH3,0.26625177
47,IL6R,-8.751199
48,PGK2,2.4791024
49,PSMF1,-2.6841056
50,ZNF484,-5.598442
51,CHEK1,0.7323746
52,PGM3,-0.71162915
53,OR8I2,1.979958
54,OR10C1,0.62933475
55,RBMX,-0.598291
56,CAMK1G,0.7946924
57,SCN2A,0.105930604
58,GAST,0.010044864
59,MLLT3,1.1578571
60,SLC17A6,-2.5418224
61,SH3GL1,0.91062653
62,HERC4,-0.871213
63,VCAN,1.1829345
64,CDKN1B,1.3678899
65,OR5L2,-2.6436858
66,NDUFA10,0.47287256
67,SH2B3,0.0050134533
68,CNGA4,3.6286912
69,HAAO,0.21767741
70,GNB4,-0.41725138
71,PABPC1L2B,-1.7445871
72,SLC39A4,2.1021905
73,CDKN2C,-0.927892
74,PABPC1,-1.7281992
75,TUSC3,-1.628746
76,VAMP3,0.82723415
77,MOS,-0.5322062
78,POLE2,0.42050406
79,FUT3,-0.2933997
80,NTRK2,-4.0362864
81,SLC10A1,-3.3420694
82,UGT2B15,2.075187
83,FLT3,7.6600275
84,SLC40A1,2.7512424
85,CUL2,-2.6893322
86,KRT33A,6.505048
87,MYO10,0.49355295
88,RPL22,-0.014254022
