,genes,values
0,SIRT7,0.2851366
1,ME1,-0.96345145
2,TNFRSF17,1.0418888
3,TGFA,0.8578443
4,SNRPD3,-0.17330052
5,UTS2B,-0.0005590147
6,PIGA,-1.6597861
7,IFNG,-5.4852233
8,IL18RAP,-0.080686554
9,TRIM37,0.069718614
10,RPS5,0.38339946
11,ZNF224,-0.4348619
12,ME2,-0.7632303
13,GLCE,0.31043774
14,TLE3,1.4759285
15,CDC25C,1.3455689
16,SDHB,-0.42464322
17,SFN,1.8342557
18,SRSF7,-0.3431365
19,THEM4,0.013954143
20,DTYMK,0.12177637
21,P2RY2,-0.8745938
22,PLCH2,-0.21978313
23,ZNF836,0.3166768
24,ZNF354A,-0.12122499
25,SMURF2,-2.7927597
26,SNAP29,-0.46911386
27,SUMO1,0.964589
28,IL7R,-0.50292283
29,CCNE2,2.9749234
30,PRH1,0.21827361
31,RICTOR,-0.062181182
32,NT5C3A,0.45048466
33,CST5,-0.82016635
34,BRAP,0.44674483
35,CDKN2A,-2.5903358
36,ZNF814,0.16875486
37,P2RX7,-1.5972652
38,RAD51,-0.29152927
39,UBE2E2,0.028597536
40,RAD54L,-0.4397739
41,ZNF200,-0.40903375
42,ZNF248,0.11830036
43,ZNF746,-0.2932554
44,PER2,0.6613265
45,CYP39A1,-0.16424695
46,RPL36A,-0.34978253
47,CYBA,-1.8975606
48,TFAP4,-0.47706503
49,PCNA,2.863064
50,IPO11,0.039155968
51,CHEK1,-1.0284194
52,PDE9A,0.44480804
53,RBMX,-0.008503382
54,CAMK1G,-0.855197
55,NAT10,-0.0029027746
56,ZNF514,-0.12598893
57,COL5A3,0.48528454
58,COL9A2,0.48567927
59,SFRP2,0.862697
60,TAT,-2.3036647
61,UCK2,1.3725431
62,INPP4A,1.3354303
63,GPR35,1.0108757
64,PPBP,-0.10354227
65,TXN,0.04471154
66,PAFAH1B3,-0.33259776
67,MYO1A,0.8240707
68,SEMA4F,-0.21364161
69,SNRPA,-0.42536327
70,SMC1B,0.1246597
71,CDKN2C,-0.19419335
72,UGGT1,1.4650681
73,BMP5,-1.4228293
74,CYP26A1,-0.48978093
75,IL27RA,-0.14359316
76,ATP6V0A2,-0.037335142
77,ZNF829,-0.4710124
78,LYPD6,0.71989596
79,INVS,0.9023259
80,TG,-0.523025
81,RPL10,-0.42054188
82,POLE2,0.16477448
83,ZNF878,-0.4553127
84,ZNF566,-0.23493475
85,PLK1,-1.0125703
86,CDC20,-1.1069434
87,NTRK2,-1.2640139
88,THOC7,-0.17436855
89,SUMO2,0.29100463
90,STX19,0.59026295
91,FLT3,0.13420968
92,CUL2,1.8984566
93,CAB39L,-0.7016684
94,ONECUT1,-0.8023893
95,MED24,-0.28555742
96,CPS1,1.8035254
97,RAP1GAP,-1.1549513
98,RUFY2,1.3343993
99,FANCE,0.3318146
100,PLCB1,1.2524354
101,KCNJ11,-1.4937423
102,CYP3A7,0.080402695
103,CDC25B,1.019341
104,MUC5B,-0.027073853
105,FLNC,0.02993451
106,STAG3,0.74833494
107,LSM5,0.09663449
108,B3GNT5,0.80814636
109,F2RL3,-0.78716284
110,MAPK8IP2,0.10989107
111,RMI1,-0.20827068
112,ZNF398,0.16559514
113,QDPR,2.0937996
114,PSMD1,1.0330878
115,RPL37,-0.1754827
116,RPP38,-0.06571323
117,CLDN9,-1.6412182
