,genes,values
0,SIRT7,-2.7879152
1,ME1,1.1129321
2,TNFRSF17,-0.65156704
3,TGFA,-1.6968524
4,SNRPD3,-3.6326876
5,UTS2B,3.7555954
6,PIGA,0.6891145
7,IFNG,14.946919
8,IL18RAP,0.6511719
9,TRIM37,-3.4364762
10,RPS5,-2.1079862
11,ZNF224,1.0115435
12,ME2,2.6536949
13,GLCE,-0.21985357
14,TLE3,-0.33478317
15,CDC25C,-3.3392377
16,SDHB,-1.6207049
17,SFN,3.3302238
18,SRSF7,-2.6828465
19,THEM4,-0.084609404
20,DTYMK,-0.89016575
21,P2RY2,-1.9571275
22,PLCH2,-4.218753
23,ZNF836,-1.090709
24,ZNF354A,-0.4035281
25,SMURF2,-4.1873665
26,SNAP29,-0.077455945
27,SUMO1,-3.3816056
28,IL7R,3.4689305
29,CCNE2,-2.7905598
30,PRH1,0.45480993
31,RICTOR,3.51518
32,NT5C3A,-0.33024257
33,CST5,-1.0049382
34,BRAP,0.1717577
35,CDKN2A,4.3085523
36,ZNF814,0.62355137
37,P2RX7,0.0072790426
38,RAD51,4.789511
39,UBE2E2,-0.43135518
40,RAD54L,-0.09174447
41,ZNF200,-0.063573144
42,ZNF248,0.28080454
43,ZNF746,-0.4763081
44,PER2,0.28091857
45,CYP39A1,1.9871014
46,RPL36A,3.5055156
47,CYBA,-4.2362823
48,TFAP4,-2.4140363
49,PCNA,-0.6083183
50,IPO11,-4.3478923
51,CHEK1,6.0954223
52,PDE9A,0.15200084
53,RBMX,-4.0469537
54,CAMK1G,-1.7680862
55,NAT10,0.8138928
56,ZNF514,-0.85241246
57,COL5A3,-0.06625524
58,COL9A2,-2.2385206
59,SFRP2,1.0558443
60,TAT,-5.6566153
61,UCK2,-3.1371067
62,INPP4A,0.8286891
63,GPR35,0.15895875
64,PPBP,0.91551155
65,TXN,-2.207511
66,PAFAH1B3,0.546366
67,MYO1A,2.3730981
68,SEMA4F,-0.8781122
69,SNRPA,-2.3602805
70,SMC1B,2.3992434
71,CDKN2C,3.873482
72,UGGT1,-1.4266536
73,BMP5,4.151997
74,CYP26A1,2.772352
75,IL27RA,-1.510132
76,ATP6V0A2,11.412209
77,ZNF829,1.0447406
78,LYPD6,0.89639956
79,INVS,-1.5168898
80,TG,-2.7344744
81,RPL10,-5.0358477
82,POLE2,0.52043825
83,ZNF878,0.02526327
84,ZNF566,-0.99353915
85,PLK1,-2.0941055
86,CDC20,3.828052
87,NTRK2,4.513568
88,THOC7,-2.4447107
89,SUMO2,-5.3714623
90,STX19,0.061917774
91,FLT3,-8.227835
92,CUL2,3.0002916
93,CAB39L,-4.047974
94,ONECUT1,-0.45007145
95,MED24,4.281647
96,CPS1,-2.2298002
97,RAP1GAP,0.70254695
98,RUFY2,-0.038122088
99,FANCE,1.0194495
100,PLCB1,16.953484
101,KCNJ11,2.387881
102,CYP3A7,-1.2009894
103,CDC25B,2.4478073
104,MUC5B,-1.0703694
105,FLNC,-0.8513808
106,STAG3,-0.85598093
107,LSM5,-6.027964
108,B3GNT5,-2.041777
109,F2RL3,-12.042328
110,MAPK8IP2,0.039001036
111,RMI1,1.6182133
112,ZNF398,-0.5874399
113,QDPR,-2.9185321
114,PSMD1,4.324282
115,RPL37,1.9973657
116,RPP38,0.15531065
117,CLDN9,-2.4225998
118,TLR1,-0.80529535
119,GCNT4,2.2619724
120,ZNF529,-0.478504
121,RMI2,0.65778625
122,RBM28,-0.776185
123,ZNF670,0.26951504
124,CYP2C19,-3.8755026
125,DBF4B,1.8954109
126,ACSL6,-5.595136
127,ACE2,2.7092335
128,POU2F1,0.97411275
129,CALML6,-16.479706
130,SMC1A,-2.7738123
131,EFCAB7,-0.29836604
132,PRPF4,3.8336356
133,RIOK1,-0.2928583
134,BRCA2,2.155323
135,UBOX5,1.4238039
136,CDK5R1,-2.0091808
137,LRP2,0.65762436
138,ABCB6,1.1612339
139,PTGER1,-5.1306667
140,CDK7,-0.15940621
141,UGT2B17,20.711939
142,B4GALT3,-2.745369
143,BARD1,1.1721736
144,ASRGL1,2.7373545
145,FBXO5,-0.40746352
146,LRTOMT,4.867038
147,TYMS,1.9423784
148,TSPAN7,0.7632343
149,MAPK8IP3,-0.05299961
150,RANGAP1,-3.2734165
151,IL12A,-2.2546558
152,ADRA1D,0.4713943
153,WIPF2,-2.4455817
154,PDE10A,-5.2744007
155,POLA2,2.1978705
156,OTX1,0.54438555
157,SSR2,2.203325
158,TNXB,0.068963826
159,ELOVL4,-2.425221
160,ACER3,1.0885022
161,TAF3,-0.37560445
162,SPOP,0.03791297
163,G6PD,2.348916
164,STAM,1.28227
165,HLA-G,0.32841295
166,RPL23,1.5736948
167,IL33,-3.0858657
168,GAS1,0.64664763
169,CCL22,1.4299129
170,XPA,0.5083429
171,VEGFA,-0.2262611
172,NCBP1,3.7215345
173,ARSG,0.21774139
174,PAK1,5.98977
175,IQCE,0.6757145
176,RFC2,3.6405306
177,PLXNB3,-1.1462201
178,NFKB2,1.8162187
179,ZNF785,-0.04104938
180,PPP2R5D,7.4187746
181,SPP1,6.688668
182,IYD,-0.035830326
183,DNA2,-2.3217402
184,CCNT1,-0.7356236
185,CBS,2.0559547
186,FANCB,-1.3658978
187,ATP1A2,-2.7588568
188,VPS26A,-0.033101488
189,BAG2,-1.4843818
190,FNIP2,5.071725
191,MAPKAPK5,-0.014404663
192,CYB5RL,0.6925925
193,ZNF783,-1.0494384
194,BIRC5,-1.7283628
195,PRKAR2A,-1.6840309
196,CDC6,-2.6542737
197,GNA13,-6.7649007
198,PVR,3.958656
199,ZFP30,0.19307026
200,RPL38,-2.5676587
201,ZNF764,-0.21432887
202,FANCD2,0.09796275
203,IHH,4.634784
204,CCNA2,5.8880825
205,KPNB1,3.0281906
206,IL1RL2,-0.9405289
207,POLR2J3,0.05486341
208,PRF1,6.7507668
209,AGAP4,0.403211
210,ZNF83,-0.03531831
211,NUP85,3.70087
212,GSTA4,-9.453367
213,EXOSC2,-0.43704367
214,ZNF234,0.632809
215,ASIC5,2.2673855
216,CDC27,3.5724287
217,RPS24,-5.027369
218,RAN,-1.65691
219,MAP3K3,7.623455
220,ABCA4,2.475412
221,ZNF527,-0.99185616
222,RIPK3,9.051058
223,PIK3C2G,-5.6713414
224,NAGPA,-0.28462443
225,MASP2,4.428407
226,CA9,-3.9514022
227,HSD11B2,0.58298653
228,CTSW,-3.5242877
229,COMP,-1.622615
230,PTGER2,0.7908676
231,PLN,-9.902798
232,BCL2L11,5.2873487
233,SELP,-2.4798195
234,MTMR14,-0.37193847
235,APLN,4.168564
236,ACADVL,0.95497715
237,ADORA2A,6.08286
238,CAMKK2,2.684922
239,CASP12,12.061511
240,GGT5,2.5067284
241,STIM2,3.6752443
242,PIGC,-0.44354498
243,SLC44A5,0.5888609
244,NR4A3,1.5568976
245,ATP6AP2,-2.2315729
246,SNRPB,7.479115
247,PHKA2,-0.006293273
248,UBE2E1,1.0634086
249,PTTG1,3.8515322
250,C7,3.6640904
251,OPRL1,-3.0373342
252,GGT6,1.6587905
253,FANCG,0.11741532
254,GPAT2,-1.4743917
255,PINK1,-0.14133647
256,PIP5KL1,-2.755896
257,CLDN2,-2.2034035
258,NEIL3,-3.1568394
259,DIS3L,0.0048927106
260,RPLP1,4.8095174
261,ZNF324B,0.37556496
262,ZNF570,0.040284194
263,PGAP1,-0.28544173
264,GCLM,-1.9209443
265,ALDH4A1,-1.0154674
266,DPYSL2,0.6538603
267,ACYP1,-3.8697171
268,GSTM5,4.8320403
269,DNAJC1,-2.0513623
270,ELN,0.14890105
271,THBD,0.3085545
272,IQGAP3,-0.5301209
273,DSG2,1.8596934
274,CCNT2,-1.2414731
275,TAF9,-0.76582104
276,SLC9A3,1.3511044
277,CRTC3,-0.90974224
278,UBE2L3,-0.84692645
