,genes,values
226,CBLB,0.81268865
227,ZNF91,1.9432551
228,TSLP,-5.6241407
229,CNGB1,5.1529784
230,DNAJC1,0.3739266
231,THBD,5.0983305
232,LYN,0.90196353
233,NGFR,7.0020165
234,SLC9A3,0.12887616
235,DTX3,0.004597475
236,MAP4K1,-3.5969534
237,RALGDS,-0.56071115
238,IKBKB,28.587803
239,CALR,5.212757
240,OR10K1,-4.9198794
241,MYO5B,-6.6406407
242,PIGM,3.1577885
243,P4HA3,-3.0398712
244,GDF2,2.1130676
245,TUBA3D,-5.9456286
246,ERBB2,10.461219
247,ZNF417,-1.4702401
248,NGLY1,5.0793796
249,SOCS6,4.4759536
250,AKT2,16.288986
251,TRPM2,3.2593675
252,LAMC1,5.054952
253,THOC1,2.5602221
254,TLR3,-4.7002697
255,TRPV1,0.74683684
256,HMGB1,-3.3400304
257,IL21R,0.45134127
258,PIDD1,-3.2202568
259,ZEB1,-5.106322
260,OR1K1,6.992852
261,ARFGEF2,-0.29716653
262,RPS3A,1.059025
263,SEMA6B,-0.9033544
264,CDH5,-6.4805527
265,PKN3,-1.453268
266,MRPS2,-3.3330247
267,NR1H4,0.79712373
268,ARHGAP10,-1.5438758
269,TRPM6,1.6628089
270,OR9I1,8.247495
271,MYH6,-0.48194847
272,EZR,-3.413868
273,MEFV,1.0487059
274,RBM17,-0.1635553
275,CCR7,-1.9825075
276,LCAT,-6.464106
277,H6PD,1.6123244
278,XCL2,-2.242636
279,ST8SIA5,-0.059402347
280,MYO1B,1.3841588
281,ENTPD1,-1.7042205
282,ERCC2,-4.8952537
283,PNLIPRP1,8.80102
284,ITGB3,13.639282
285,POLA1,-3.6677217
286,CD209,7.21289
287,NPAS2,-0.3235549
288,GSTK1,-0.18499722
289,UBE2K,-0.3374058
290,ATM,-3.6220787
291,CXCR4,4.489138
292,COX7A2L,-3.500851
293,LYNX1,0.011046196
294,KRT33B,-4.392384
295,ECSIT,8.119571
296,TECR,6.9086795
297,FCAR,7.7453017
298,ARHGEF18,-0.24935657
299,ACSBG2,-8.860791
300,VWF,3.6125402
301,FAHD1,0.32980883
302,OR1C1,-4.8167834
303,ATXN1,-0.7220267
304,SNX12,1.0605036
305,CACNA1F,6.2059417
306,TH,-5.6076827
