,genes,values
0,C1GALT1,-4.1017528
1,MEIS1,4.8803196
2,ERBB2,10.028946
3,GDA,0.43455315
4,DDX23,-2.34439
5,SFRP4,0.9937223
6,ZNF430,-0.50618434
7,ATP2B3,5.084504
8,GRM7,9.572988
9,ALDH1L1,-1.2144938
10,HTR2B,4.897527
11,UBA52,0.9981423
12,ATR,0.59012085
13,ZNF317,-0.6014566
14,PPCS,-4.944762
15,VMP1,-3.0268433
16,INHBB,4.671816
17,PLCH2,-1.3027774
18,HERC1,-0.015823593
19,TTC37,-3.757246
20,ATIC,0.16077954
21,CXCR5,0.43112108
22,RASGRP1,0.76612306
23,ZNF528,0.067261435
24,KCNQ2,-1.7078357
25,CHSY1,-3.636898
26,MASP1,0.3205194
27,PROS1,1.7561535
28,RRP7A,-0.82071227
29,ATG9A,-1.5435146
30,PLA2G4F,24.200758
31,MAN1B1,-3.1432319
32,DCTN1,-11.339344
33,NCOA1,9.608794
34,CNOT1,5.3622108
35,CCNB3,2.9601285
36,HEXA,-4.1289034
37,CARD16,-0.55142903
38,TAOK1,7.4549775
39,CA6,-1.5355945
40,POFUT2,-2.3509448
41,CST5,3.4437609
42,SIRT1,4.1457114
43,ACSS2,-0.69936925
44,CARD10,-2.2224338
45,EEA1,-18.07905
46,HERC4,1.9423451
47,KIF22,0.34898195
48,TRPC3,-0.6101532
49,KRT10,7.419671
50,FBP2,4.303283
51,HSP90B1,-9.868037
52,ATP6V1A,4.7488556
53,HTR6,9.153161
54,PLK3,0.42990196
55,REL,0.78136325
56,CHD8,-0.2633147
57,KSR1,-1.4345527
58,OR7A5,-4.672194
59,CNGB3,-6.478217
60,HNRNPA3,-0.6793256
61,KIR2DL4,1.0544848
62,MRPS6,-0.14647384
63,PTGR1,-1.7722374
64,AIM2,-0.0052337814
65,PIK3R3,20.32909
66,SRP9,2.253181
67,TAS2R20,-1.4546981
68,SP1,-5.9024353
69,MBL2,2.5542042
70,PLA1A,-10.132924
71,SP100,-0.7552793
72,TNFRSF17,-1.7412468
73,IL20RA,0.45239446
74,GNAL,0.6457021
75,AHCYL2,-1.0996804
76,OR52K2,-7.011163
77,GALNT12,3.0100663
78,PIKFYVE,3.883414
79,DHX58,1.0792767
80,OR5H1,-1.3109405
81,ZNF304,-0.4687099
82,NFKBIB,-4.9934187
83,BHLHE40,10.57826
84,THOP1,5.3868413
85,SEMA7A,-0.5866979
86,CD1B,0.8929105
87,GBP7,0.189726
88,OR10A5,-3.670908
89,BOC,3.055929
90,ST8SIA5,1.9788305
91,MRPL1,0.20665923
92,ZNF33B,-0.3438161
93,MRPL16,-0.12750679
94,TGFBR2,-7.665983
95,MAP3K6,-5.05985
96,NDUFB9,-4.1587133
97,TRPM6,1.6860816
98,APPL1,-1.3989358
99,SEMA6B,0.2235996
100,PTPRM,-1.4461462
101,CCL11,2.0902154
102,SNRPB,2.0096183
103,NLK,0.1263697
104,RASA2,-0.14205003
105,ACSL5,5.8255854
106,CD5,2.2820985
107,MAP2K3,2.1434252
108,KIF5B,-8.723552
109,ZNF565,-0.5912076
110,WDR75,0.4530559
111,OR51G1,3.4362655
112,DSPP,-0.17804113
113,LRIG2,-0.11948076
114,PRDM2,2.0554175
115,HLA-DOA,-9.947765
116,IRAK4,6.1597843
117,OXTR,-7.198754
118,CLCA4,6.752745
119,SKP1,14.050126
120,CREB3L4,-33.202587
121,MSTN,-1.2909664
122,TRPC5,-0.20238404
123,ESRRB,3.99037
124,NOD1,1.247018
125,SHANK3,2.7374315
126,PRPF38A,-0.30690914
127,C1S,5.4034886
128,ST3GAL6,0.40912768
129,LGR6,-0.042120382
130,SGPP2,5.2272253
131,NTRK3,-0.98656994
132,HRH1,5.5650578
133,ZNF689,-0.38058215
134,ZNF658,-0.16258542
135,AFP,3.4155161
136,CPS1,2.9004378
137,TAF9,0.58061475
138,ZNF589,-0.44349676
139,LTA4H,-2.2848115
140,RPS21,-0.16520475
141,NTNG2,-0.4645744
142,PHGDH,5.893103
143,CD209,-2.7430053
144,EGF,31.662485
145,ZNF492,0.52210593
146,ESR1,-10.431291
147,PDE6G,-0.26178277
148,OR10V1,-4.731453
149,ZNF699,0.2842523
150,PRKAG2,-9.797728
151,NDST2,-1.3082036
152,FAAH,0.12143639
153,FSCN1,-1.0311124
154,UAP1L1,-0.17338496
155,GRIA4,13.47484
156,ZNF778,0.083911225
157,MC5R,1.6913502
158,ITGAL,-17.75327
159,CASQ2,-2.7621622
160,PTPRF,6.6192355
161,RAET1E,0.07050401
162,BTG2,-0.83794343
163,GPR50,5.083241
164,SCD,1.4195386
165,ZNF547,-0.21526127
166,ACTC1,0.9294078
167,GSPT2,6.0517473
168,UCK2,-5.6994185
169,BMI1,2.097658
170,GRIN2A,-12.176285
171,IL32,1.1938126
172,PIK3C2A,6.9934826
173,POLR3B,1.0944363
174,NPSR1,4.6348944
175,G6PC3,10.102868
176,MYO5C,5.5469017
177,ALAS1,-3.3629422
178,RPA2,-0.44672403
179,PPP2R3B,-0.6857899
180,MYO1A,0.08058872
181,MYO1D,-6.716775
182,CKMT2,-5.300167
183,DSP,1.5845344
184,SULT2A1,-2.565247
185,MME,5.9834614
186,KDR,8.823476
187,JMJD1C,1.4832412
188,PLCH1,3.3418508
189,HPD,-0.33837152
190,RFX5,-1.4573811
191,NOS1,4.89049
192,TRPM2,-1.4135367
193,NFATC4,1.6232383
194,IL1RL1,-2.0067732
195,GNS,2.4062028
196,LDLRAP1,11.790585
197,NAPRT,-1.0342079
198,DBT,-1.5975136
199,ZIC3,6.824341
200,ZNF436,0.21740223
201,PPP2R5D,-5.323777
202,CKAP4,-1.8455424
203,BID,-10.088749
204,GPAM,0.011120883
205,RUVBL1,0.2440639
206,TP53BP1,0.2782696
207,PCYT1A,-2.7548058
208,CHRNB1,-5.301751
209,SLITRK4,1.4487196
210,MAP3K1,-3.46299
211,SLC7A9,0.018050099
212,GUCY1A2,1.5031066
213,ABCA6,-2.1857145
214,COX4I1,-0.7591738
215,LPAR6,6.1778345
216,ZIM3,-0.32231584
217,ZNF534,0.16813579
218,PAX7,-0.8552311
219,EFNB3,0.60869545
220,ABCD3,0.4762619
221,ZNF681,-0.6246125
222,IL10RB,6.282495
223,MFSD8,-5.692769
224,UGT2B4,7.432301
225,TAP1,12.448448
226,COL6A6,-2.650411
227,F10,1.8995413
228,ST6GALNAC3,-1.6024264
229,PTH1R,1.6741235
230,ZNF480,-0.3083405
231,GALM,2.8542826
232,GATB,0.98079973
233,ZNF302,0.41392717
234,CLDN9,-3.5416174
235,MSH2,-1.6023009
236,XPO6,-0.41282535
237,ZNF878,-0.07776725
238,PRKAG1,5.261606
239,AKR7A2,3.2642543
240,MBTPS2,4.931533
241,PIK3CD,-34.098503
242,AK5,-1.1192404
243,ALDH1A1,-1.1219348
244,UBA2,-0.025775181
245,ABL1,6.018907
246,PHLPP1,3.1232364
247,RPS4X,0.09322422
248,ATP2A3,-5.80089
249,OR5M8,4.3081574
250,PPP1R3F,6.531986
251,MCEE,4.129598
252,STRADA,2.4000082
253,TAF3,1.1642629
254,ZNF74,-0.0032377196
255,MUC7,2.8012083
256,GALNTL5,-5.161789
257,PDSS2,2.3935518
258,SLC6A2,-0.016597155
259,MOCS3,0.13595794
260,SLC25A31,-1.9012022
261,DBH,-5.671
262,GPX6,-15.344632
263,NDUFV2,-3.4499598
264,FBN1,0.023199607
265,PAPSS2,0.19914967
266,TPP1,-1.9514371
267,DNAH6,-2.2954376
268,EYA1,1.2736949
269,AMY2B,5.6855373
270,NTN4,-0.42967328
271,SLC6A4,0.08907696
272,MDM4,3.1276832
273,TICAM1,2.6748822
274,OR13F1,4.304584
275,POLR3D,0.9702193
276,GANC,3.3119006
277,GRM4,7.8124657
278,ZNF229,-0.51764834
279,HDAC7,-0.2749061
280,FLAD1,-2.1210222
281,VTCN1,-0.42371988
282,GNA12,-3.7163448
283,KRT17,-6.2258573
284,POLR2I,0.71142817
285,CD48,-0.4477616
286,ZFP69B,0.491481
287,ZNF160,0.15297833
288,FUT8,-0.6205435
289,PLA2G4D,1.6023445
290,GLUD1,2.1412733
291,ACTA2,1.0889298
292,ZNF557,-0.4323897
293,ZNF354A,-0.61311746
294,CYP4F2,-2.1547728
295,KRT23,-3.7914407
296,RHOH,-2.3683212
297,KDELR2,0.3025402
298,ZNF623,-0.29983288
299,CPA2,-0.1763572
300,ACTR10,-0.4659231
301,GP6,5.2459793
302,SUOX,0.47678322
303,SLC5A5,2.916207
304,LPAR1,-3.697088
305,DNAH11,0.30534795
306,UBE2S,0.898579
307,OR4F17,0.088947274
308,ASAH1,4.1150484
309,CXCL12,8.759284
310,ZNF761,-0.14442572
311,OR8K3,-5.590965
312,AGL,2.821471
313,FGFR2,-3.883136
314,GSTT2B,-1.3913201
315,HTR1E,5.6394553
316,COL6A2,7.4779744
317,ZNF746,-0.17137736
318,SLC34A2,-4.8763833
319,RFK,-6.9581943
320,YES1,-0.0049417587
321,DIS3L,0.34191734
322,ATP2B2,0.6060504
323,SEMA5A,0.5106918
324,THBD,1.5688962
325,SLC4A4,9.963029
326,COMT,-0.3474053
327,CSTF2,0.5673998
328,RFC5,-0.18506457
329,RASGRF2,0.7996217
330,STAR,-8.374602
331,ATP4A,-7.9226155
332,OR2A4,5.9643555
