,genes,values
0,hsa-mir-125b-1,0.069103576
1,hsa-mir-935,0.10770074
2,hsa-mir-3143,0.024294198
3,hsa-mir-543,0.0037660878
4,hsa-let-7c,0.112188935
5,hsa-mir-137,0.13314302
6,hsa-mir-4707,0.004386529
7,hsa-mir-5090,0.0122349635
8,hsa-mir-5001,-0.00014720796
9,hsa-mir-370,0.018311143
10,hsa-mir-1260b,-0.046133447
11,hsa-mir-612,-0.17381631
12,hsa-mir-4424,0.0945074
13,hsa-mir-214,0.048888452
14,hsa-mir-466,-0.00019440443
15,hsa-mir-455,-0.024697682
16,hsa-mir-758,0.0144814495
17,hsa-mir-3667,0.048774373
18,hsa-mir-143,0.062037326
19,hsa-mir-4685,0.006994454
20,hsa-mir-95,-0.019514678
21,hsa-mir-127,-0.013988267
22,hsa-mir-216b,-0.0005399493
23,hsa-mir-5193,0.0005545959
24,hsa-mir-3117,0.067142405
25,hsa-mir-3943,-0.021122644
26,hsa-mir-659,-0.0388231
27,hsa-mir-655,-0.040769324
28,hsa-mir-380,0.058272403
29,hsa-mir-3144,0.009410452
30,hsa-mir-154,-0.10870269
31,hsa-mir-4449,0.0276675
32,hsa-mir-337,0.15334502
33,hsa-mir-3662,-0.15413259
34,hsa-mir-561,0.013969151
35,hsa-mir-92b,-0.20358723
36,hsa-mir-506,0.14651042
37,hsa-mir-548y,0.024781121
38,hsa-mir-1911,-0.0062661166
39,hsa-mir-4521,0.04721202
40,hsa-mir-410,0.031209555
41,hsa-mir-409,-0.035596456
42,hsa-mir-1185-2,-0.0063854065
43,hsa-mir-379,0.14457855
44,hsa-mir-658,-0.013394663
45,hsa-mir-1305,0.05784091
46,hsa-mir-1294,-0.06294156
47,hsa-mir-4454,-0.030087428
48,hsa-mir-584,0.10775063
49,hsa-mir-134,0.1145961
50,hsa-mir-4691,0.107483014
51,hsa-mir-889,-0.02199383
52,hsa-mir-199b,-0.08262859
53,hsa-mir-125b-2,-0.047879815
54,hsa-mir-1237,-0.0054487986
55,hsa-mir-1269a,0.053733986
56,hsa-mir-133b,-0.045462888
57,hsa-mir-548l,0.09694324
58,hsa-mir-4524a,-0.1165719
59,hsa-mir-382,-0.041992787
60,hsa-mir-487a,-0.07432679
61,hsa-mir-4733,0.04129373
62,hsa-mir-299,0.17200299
63,hsa-mir-411,-0.11364866
64,hsa-mir-654,0.024227506
65,hsa-mir-3622a,-0.006847812
66,hsa-mir-494,0.06168464
67,hsa-mir-539,0.030495752
68,hsa-mir-1295a,0.08574699
69,hsa-mir-577,0.257032
70,hsa-mir-377,0.1856601
71,hsa-mir-1245a,-0.017970875
72,hsa-mir-485,-0.054148614
73,hsa-mir-99a,-0.2059814
74,hsa-mir-4742,0.09661446
75,hsa-mir-513c,-0.13109829
76,hsa-mir-641,-0.06678474
77,hsa-mir-1185-1,0.051896524
78,hsa-mir-495,-0.0011953582
79,hsa-mir-489,-0.110222794
80,hsa-mir-615,0.1742353
81,hsa-mir-152,0.22752915
82,hsa-mir-431,0.08282193
83,hsa-mir-4802,-0.018980978
84,hsa-mir-190b,0.050605368
85,hsa-mir-3150a,0.0014411899
86,hsa-mir-3140,0.11270888
87,hsa-mir-551a,-0.009502166
88,hsa-mir-665,-0.11935683
89,hsa-mir-493,-0.25874418
90,hsa-mir-323a,-0.04613275
91,hsa-mir-432,-0.10697387
92,hsa-mir-541,-0.032898135
93,hsa-mir-345,0.10732164
94,hsa-mir-369,-0.006910925
95,hsa-mir-224,0.008734453
96,hsa-mir-487b,-0.017190192
97,hsa-mir-5699,-0.018611418
98,hsa-mir-873,0.043595392
99,hsa-mir-4423,0.0011562556
