,genes,values
0,AQP7,0.017727317
1,SLC6A11,0.2137243
2,GDA,0.18498571
3,UBR5,0.42110336
4,NOTUM,-0.45019403
5,GTF2H5,-0.8289259
6,SFRP4,-0.024703285
7,NAPEPLD,0.0845268
8,ALDH1L1,-0.86230725
9,HTR2B,0.41844535
10,UBA52,-0.16069539
11,SLC17A7,0.5951732
12,AGPAT5,-0.24919559
13,TRAM1L1,-0.27190986
14,P2RX7,-1.0157993
15,ATR,1.4357597
16,ATP7A,-0.6537856
17,TEAD2,-0.24844535
18,WDR3,-0.0005789981
19,HMGCS2,-0.27925706
20,SGCB,-0.5292186
21,HERC1,0.33840364
22,SLCO1B3,0.27150962
23,SPATA5,0.008480361
24,SOX17,0.008951628
25,CYB5RL,-0.8594017
26,TTC37,0.22931778
27,KIF23,0.0999894
28,CHSY1,-0.1293221
29,VIPR1,-0.3449513
30,GREM2,0.10789403
31,CSNK2B,-0.7672946
32,CLDN20,-0.3507471
33,PROS1,-0.6250655
34,SIX1,-0.49265665
35,GPHN,1.0258046
36,HOMER2,-1.5748016
37,PLA2G2F,-0.7836057
38,TST,1.551303
39,RPL7A,0.03706386
40,SEC24A,0.6981598
41,PDE4C,-0.33886635
42,LAMA2,-1.5464029
43,CDC27,-0.53599036
44,CNOT1,0.46686825
45,YWHAG,0.20101191
46,TAOK1,0.17417525
47,XPOT,0.012723409
48,ZNF490,0.08136403
49,TTF2,0.031926498
50,DUSP2,0.0056279395
51,NDUFA11,0.1770614
52,TAS2R31,-0.48046637
53,PIGZ,0.96113443
54,ARSB,-0.40426427
55,SMCR8,-0.16978888
56,GLI3,-0.010965246
57,PLA2G4E,-0.4768553
58,SLCO1B1,-0.10520015
59,HOXD10,0.026377868
60,RFC1,0.80866015
61,ITPK1,-0.5138792
62,SLC34A3,-0.42940316
63,TRPC3,-0.8611372
64,ADCY1,-1.5907474
65,LAMP2,-0.26490033
66,EEF2K,-1.3849517
67,DPYD,-0.03453629
68,FN1,-0.73907125
69,GRID1,0.53219265
70,IGF2R,0.21932463
71,EPHA4,0.85603946
72,ATP6V1A,-0.96073854
73,ICAM2,0.3401312
74,TLE6,0.18101172
75,PLK3,0.8083309
76,CHD8,0.49561426
77,CMA1,-0.55723935
78,KSR1,-0.057578843
79,MTOR,2.0349395
80,ROR1,-0.34325907
81,DLG5,-0.10893629
82,RPL36A,0.06491156
83,PRKDC,-0.5295504
84,PCYT1B,0.4588022
85,ARHGEF4,0.27103177
86,ACE,0.51834744
87,RPL13A,-0.07919584
88,CARD18,-0.049972083
89,NDUFA2,-1.5284384
90,GTF2E1,0.38548657
91,ANTXR1,-0.08486699
92,COL5A2,0.17732738
93,TNPO1,0.15754385
94,STX2,-0.057253886
95,TUBB4A,0.38179377
96,TNFRSF17,-1.0319617
97,MKNK2,-0.06438607
98,RPL29,-0.0027699992
99,AHCYL2,0.63093674
100,TOPBP1,1.1142194
101,ASIC1,0.50213504
102,ENPP6,-0.103889845
103,MMP9,0.3144948
104,PIKFYVE,0.5706671
105,DNM1,-0.21691981
106,SERPINB2,0.27985153
107,CPB2,0.3636207
108,C3,0.33084416
109,NPC1,-0.09866057
110,THSD4,0.10496678
111,FAN1,-0.6659596
112,NKX3-1,-0.35756737
113,AMPH,-0.8626285
114,LDHC,2.244785
115,TSPO,-0.27376157
116,GAS1,-0.01927043
117,RSPO3,0.5078682
118,BOC,0.8969013
119,COL11A2,-0.07062699
120,NDUFB10,-1.7393253
121,ITPKA,-0.2762698
122,SEMA6B,-0.15665454
123,TMEM86B,0.22682239
124,SF3B3,0.43744507
125,KIDINS220,0.069547415
126,FBP1,1.9957842
127,RPS6,-1.4100288
128,ACSL5,-0.20238872
129,IFI30,-0.033755884
130,CHST6,-0.96393484
131,CSNK1G3,0.15159631
132,COL16A1,0.16968441
133,SEC24C,0.46017668
134,ALDH1L2,-0.79915357
135,LPAR4,0.82278144
136,HAND1,-0.103795744
137,IP6K2,0.32236284
138,RPS28,-0.011815513
139,AGPAT4,0.7283663
140,BRCA2,-1.868505
141,CLDN5,-0.052262947
142,MED13,-0.025291799
143,ZNF707,0.010290378
144,COL5A1,0.0019593104
145,MYO5A,-0.06406068
146,LRIG2,-0.4697741
147,B3GALNT2,0.007892065
148,XRN1,0.6539235
149,ATP7B,-0.18133943
150,NLGN2,0.2973265
151,NDUFV1,-0.630328
152,ETV1,0.49583256
153,OXTR,0.80786705
154,DAGLA,-0.19222927
155,IL27RA,-0.3450445
156,GABRQ,-1.3366817
157,NDUFB7,-1.6970332
158,DGKG,0.19427255
159,SEMA3B,0.8252131
160,REST,-0.53447914
161,CAMK2D,-0.19082281
162,ENPEP,0.79151225
163,VAMP5,-0.22389947
164,ST3GAL6,-0.03770224
165,LGR6,0.9813421
166,RNGTT,-1.2763584
167,RPL13,0.04695151
168,LIG3,0.098653875
169,AMH,0.2801273
170,P2RY1,-1.2599493
171,SFRP1,-0.10060271
172,ARPC4,-0.6750506
173,PNPO,0.54073626
174,SLIT2,0.925548
175,CLDN6,0.23629181
176,ZNF674,-0.102916166
177,APCDD1L,-0.99252456
178,DIAPH3,-0.2794771
179,POMK,-0.01728971
180,DICER1,-0.11398588
181,DMXL1,-0.090480335
182,PPAT,-0.03161485
183,EGF,-3.0957446
184,ZNF492,-0.017536046
185,RPL26,-0.077405386
186,ST3GAL2,0.7257142
187,NFKBIZ,0.58268726
188,OR11H7,0.64608765
189,WNT11,0.33044136
190,ZNF699,-0.03849208
191,FZD1,-0.12225239
192,FADS1,-0.13304901
193,SLC25A6,-0.3076281
194,RXFP1,-0.07102143
195,PFN1,1.1290358
196,CALML3,6.0607386
197,GSTM1,1.5254446
198,STXBP1,0.2992285
199,GSPT2,1.852756
200,DSC2,0.51640147
201,ZFP1,0.037201487
202,RPL18A,0.077879585
203,UCK2,0.016025804
204,AGPS,0.44205427
205,TP73,0.06802699
206,COL8A1,0.028451048
207,AR,-0.11853351
208,CLTCL1,0.34534448
209,PDGFC,0.9977566
210,GALNT15,-0.66937363
211,PIK3C2A,-0.26068726
212,PTPRZ1,0.43599147
213,ARPC3,0.11301214
214,COMP,-0.28527305
215,CUBN,0.0014654452
216,LFNG,-0.94386196
217,TRIM37,0.6466367
218,ZNF132,-0.076733336
219,AMDHD1,-0.059741676
220,PNLDC1,-0.44148132
221,SULT2A1,0.8501371
222,CHRNA3,-0.424123
223,SAV1,-0.014575023
224,MME,1.8532223
225,CTLA4,-0.96914595
226,GPR161,-0.19260642
227,ACY1,0.547217
228,KLHL13,-0.2886037
229,ARNTL,-0.13820732
230,STAM2,0.33920002
231,THBS4,-0.5479973
232,PAK3,1.0907584
233,DBT,0.57541335
234,NF1,0.14607684
235,AMT,-1.0052279
236,NSD1,-0.07193017
237,COL27A1,-0.12102639
238,HMMR,0.915
239,LATS2,0.1650249
240,UBA7,0.31058493
241,GALNT4,-0.1916014
242,RASGRP2,-0.3873703
243,S1PR4,-1.1934859
244,DOCK4,0.017393235
245,KRT16,-1.3282529
246,GNA13,1.0549575
247,DLL4,0.09272899
248,ROCK1,4.2799277
249,HPSE,0.5270317
250,ITCH,-1.0814523
251,TP53BP1,-0.013344911
252,GTF2I,-0.63604087
253,NRCAM,0.1335893
254,CD63,-0.023753572
255,SLITRK4,-0.25097215
256,ADH1C,-1.5619549
257,GUCY1A2,1.343716
258,CNGA1,-0.09731683
259,COX4I1,-0.58616585
260,LPAR6,-0.10875087
261,HEPHL1,0.84440994
262,TAF1,-0.47777075
263,MTCP1,0.0773372
264,CHRNA1,0.1802095
265,EFNB3,0.4904979
266,ERCC4,0.3504092
267,CSNK2A3,-0.50989896
268,EDAR,-0.019934552
269,SIRT6,0.5658313
270,JUND,0.07605092
271,XRN2,0.80606693
272,CPT1C,0.88687116
273,RPL11,-0.058210284
274,TTI1,-0.3659109
275,EDNRA,0.038924016
276,F2RL2,0.61494774
277,ST6GALNAC3,0.13824537
278,HNF1B,0.06789994
279,SH3GL2,0.2705505
280,CREB1,-0.747882
281,SKAP1,0.30689225
282,ACADS,0.5528737
283,RBL1,0.40443814
284,GLYCTK,0.73086673
285,RBM28,0.0012113276
286,ZNF98,0.031839103
287,SDR16C5,0.67919815
288,PIAS2,0.19994485
289,EPHA3,0.23383959
290,NTNG1,0.32001528
291,NKD1,0.8545261
292,STAG1,-0.1827935
293,ADH6,1.3131485
294,SIRT4,0.12245696
295,BDH1,-0.49720767
296,PABPC4L,-1.032493
297,PIGQ,0.17115405
298,PRKG1,1.5138336
299,MCM4,-0.14868578
300,PIGW,0.7777774
301,CYP4F3,0.12935662
302,GDF15,-0.02787098
303,ZSCAN32,0.11258733
304,TRRAP,0.5656167
305,CAD,0.09399184
306,RPS4X,-0.06878206
307,NMNAT2,0.08161275
308,FECH,0.086151555
309,ATP2A3,2.2851398
310,ZNF2,0.04404427
311,TXK,0.36952448
312,ZNF543,-0.034528147
313,ME1,-0.26963645
314,IPPK,0.45495942
315,POLR3G,-0.117079064
316,CSNK1G1,0.15500578
317,SLC7A1,-0.052677475
318,EME2,-1.0013744
319,FGF10,-0.19967528
320,MAP3K2,1.261095
321,EXO1,0.32490107
322,SEMA3D,0.5656948
323,SEMA3A,-0.23338924
324,NDUFS7,0.7215516
325,DNMT1,-0.23262459
326,NDUFV2,-1.2671111
327,FBN1,-0.07079271
328,TNFSF4,-0.028691854
329,PAPSS2,-0.04681285
330,UQCRC1,0.19758588
331,MBOAT1,-0.24102621
332,HBS1L,1.4831338
333,ACLY,-0.026609236
334,AMY2B,2.0297303
335,ZNF92,0.058911245
336,ABCA10,0.11619255
337,GAMT,1.1191536
338,DBF4B,0.20659404
339,IL18RAP,0.028999286
340,ZNF229,-0.005665672
341,DNAJC6,-0.46252388
342,WNT10B,0.5897461
343,PHLPP2,0.10415724
344,DNMT3B,-0.5613576
345,LIPC,1.0454571
346,DNAJC5,-0.35101554
347,AMOT,-0.14415796
348,FGFR1,-0.6336667
349,BUB1B,-0.22732362
350,TBL1XR1,1.0104171
351,WNT6,0.6895968
352,ZFP69B,0.02173115
353,SLC38A3,0.1703665
354,UBE4A,-0.52091193
355,KCNN4,0.1516602
356,TPCN1,-0.8049078
357,PIK3CG,0.43059975
358,PDE5A,-0.34182048
359,MRPS15,-0.026495716
360,AKT3,-6.244794
361,CYP4F2,0.022976689
362,XYLT1,-0.11174874
363,MCOLN3,0.26327065
364,UBXN6,0.27490866
365,GNG4,-0.20929721
366,DHFR,1.2622334
367,ZNF623,0.074497595
368,CERS4,-0.32274458
369,PRKAA2,1.4450439
370,FNIP1,0.30328095
371,NCF4,0.08761436
372,LAMC1,-1.1311876
373,TAF10,0.60897535
374,KMT2A,0.15416963
375,ZFP57,-0.011072658
376,MED13L,0.022647124
377,GAB1,0.7944126
378,CYTH3,0.3891686
379,DYNC1LI2,-0.21290654
380,CES1,0.5001459
381,HYAL4,0.35534248
382,GALNT5,1.6461998
383,DHX38,0.19861047
384,ACSM6,-0.58272064
385,GSTT2B,0.95972264
386,PNPLA3,-0.27016425
387,CD7,-1.6633353
388,LRRC4,-0.5560306
389,FMO4,-0.7680221
390,GNB4,-2.3748767
391,RILP,0.00187471
392,RPL6,0.003692205
393,PRKCQ,-2.2674456
394,RPS14,-0.05894633
395,RAET1L,-0.8776824
396,STAR,-0.39827114
397,GLCE,-0.8080635
398,ATF6,-0.9172492
399,ATXN1L,0.090522885
400,NPAS2,-0.026171723
401,NDUFA9,-1.154195
402,LLGL1,0.032305505
403,RIF1,-0.60161316
404,PLIN5,-0.1207896
405,PDE3A,-0.33563572
406,PCLO,-0.40883824
407,DOCK1,-0.9587022
408,ARHGAP5,0.20529088
409,VANGL2,-0.393404
410,GALNT16,0.29045552
411,ANAPC1,-1.3795552
412,PGLS,-0.032049406
413,ATP6V1B1,-0.34484863
414,LBP,-2.9235506
415,POLD4,-1.6221592
416,TLE2,-0.5531331
417,IL19,-0.50188804
418,KRT36,0.81287414
419,EME1,1.422662
420,NCOA3,-0.9772289
421,MGAT5B,-0.8366179
422,CHRNB4,0.7677475
423,UQCRQ,-0.90817124
424,IBSP,-0.6264745
425,COL8A2,-0.18877481
426,BARD1,0.68084216
427,COL1A1,-0.50381744
428,WNT3A,0.94704854
429,ABL2,-0.03673491
430,ARHGAP35,-0.28511253
431,XRCC2,0.42820358
432,CLDN23,-0.07094045
433,B3GAT1,0.011053696
434,ERC1,0.6405284
435,ASAP2,0.032259766
436,UNC5C,-0.22709294
437,GAST,0.0873016
438,NDUFS5,0.2762165
439,COL4A4,0.11238804
440,PHKB,0.14890267
441,ZNF250,0.107320316
442,NMU,0.11342002
443,NEFM,-0.054046076
444,IGF2BP1,0.025574302
445,FMO2,-0.4383615
446,KLRC1,1.5491616
447,SIN3A,0.54340726
448,ELN,-0.19264545
449,CDK5R1,0.312578
450,DARS2,-0.27348188
451,TIAM1,0.02545188
452,RPS25,-0.025526457
453,BLK,-0.2701619
454,RPL9,0.026863623
455,GTF2A1,-0.24750996
456,OSMR,1.4015522
457,SERPIND1,-0.6844064
458,AXIN2,1.3365512
459,EMG1,0.0061525186
460,SLC44A5,0.285934
461,PRKAR2B,-0.13047661
462,RPL37A,-0.03312346
463,GNL3L,0.0046713953
464,NTRK2,0.89506394
465,PDXP,0.024876567
466,PIGR,-0.33129463
467,ADCYAP1R1,2.0477693
468,IL36G,0.0044253636
