,genes,values
0,hsa-mir-125b-1,-0.08851083
1,hsa-mir-935,0.02133468
2,hsa-mir-3143,-0.40065694
3,hsa-mir-543,1.2812274
4,hsa-let-7c,-0.9884432
5,hsa-mir-137,0.18991038
6,hsa-mir-4707,-0.45062718
7,hsa-mir-5090,-0.017375477
8,hsa-mir-5001,0.032904338
9,hsa-mir-370,0.9853723
10,hsa-mir-1260b,-0.24339937
11,hsa-mir-612,-0.7268753
12,hsa-mir-4424,-0.086571604
13,hsa-mir-214,-0.6610837
14,hsa-mir-466,0.042360302
15,hsa-mir-455,-0.56889933
16,hsa-mir-758,-0.21070996
17,hsa-mir-3667,0.51916736
18,hsa-mir-143,-0.39578947
19,hsa-mir-4685,-0.094406575
20,hsa-mir-95,0.2428604
21,hsa-mir-127,0.70204705
22,hsa-mir-216b,-0.73378277
23,hsa-mir-5193,0.006364112
24,hsa-mir-3117,-0.3429265
25,hsa-mir-3943,0.09500759
26,hsa-mir-659,-0.3415532
27,hsa-mir-655,-0.2226242
28,hsa-mir-380,0.23869036
29,hsa-mir-3144,0.12313579
30,hsa-mir-154,1.1347013
31,hsa-mir-4449,-0.007262212
32,hsa-mir-337,0.3283766
33,hsa-mir-3662,-0.5399131
34,hsa-mir-561,-0.5462895
35,hsa-mir-92b,-1.0092623
36,hsa-mir-506,-0.5246835
37,hsa-mir-548y,0.24803191
38,hsa-mir-1911,0.08011405
39,hsa-mir-4521,1.4771405
40,hsa-mir-410,-0.30713743
41,hsa-mir-409,-0.13794291
42,hsa-mir-1185-2,-0.31440693
43,hsa-mir-379,1.2899517
44,hsa-mir-658,-0.041902024
45,hsa-mir-1305,0.44802406
46,hsa-mir-1294,1.2948691
47,hsa-mir-4454,-0.1639497
48,hsa-mir-584,-0.22329944
49,hsa-mir-134,-0.33400008
50,hsa-mir-4691,1.1692019
51,hsa-mir-889,-0.20345026
52,hsa-mir-199b,0.716904
53,hsa-mir-125b-2,-0.5934146
54,hsa-mir-1237,0.03600997
55,hsa-mir-1269a,0.07311638
56,hsa-mir-133b,0.6037307
57,hsa-mir-548l,-0.22910357
58,hsa-mir-4524a,1.1562569
59,hsa-mir-382,-0.35614115
60,hsa-mir-487a,0.07069287
61,hsa-mir-4733,0.13690566
62,hsa-mir-299,0.6830099
63,hsa-mir-411,-0.3424327
64,hsa-mir-654,0.68487144
65,hsa-mir-3622a,0.053736955
66,hsa-mir-494,0.27201438
67,hsa-mir-539,-0.8688642
68,hsa-mir-1295a,0.029569397
69,hsa-mir-577,-0.19595516
70,hsa-mir-377,0.31325257
71,hsa-mir-1245a,-0.12584528
72,hsa-mir-485,0.04056342
73,hsa-mir-99a,-1.6568567
74,hsa-mir-4742,0.0026887923
75,hsa-mir-513c,0.8767668
76,hsa-mir-641,0.731766
77,hsa-mir-1185-1,-0.32391357
78,hsa-mir-495,0.1781538
79,hsa-mir-489,-0.6212085
80,hsa-mir-615,0.94778836
81,hsa-mir-152,1.1553338
82,hsa-mir-431,0.23362209
83,hsa-mir-4802,0.27289987
84,hsa-mir-190b,0.1153265
85,hsa-mir-3150a,-0.21847142
86,hsa-mir-3140,-0.07931853
87,hsa-mir-551a,0.4700317
88,hsa-mir-665,-0.5775319
89,hsa-mir-493,-0.25465566
90,hsa-mir-323a,-0.50234014
91,hsa-mir-432,-0.97927517
92,hsa-mir-541,-0.22883512
93,hsa-mir-345,0.57611626
94,hsa-mir-369,-0.28642616
95,hsa-mir-224,-0.873473
96,hsa-mir-487b,0.73130274
97,hsa-mir-5699,-0.6231982
98,hsa-mir-873,-0.56412363
99,hsa-mir-4423,-0.57933486
