,genes,values
0,hsa-mir-149,5.2379994
1,hsa-mir-3622a,0.38053238
2,hsa-mir-658,1.9169841
3,hsa-mir-887,1.4079049
4,hsa-mir-25,1.4147217
5,hsa-mir-4705,-1.0840216
6,hsa-mir-552,-2.3379507
7,hsa-mir-495,-1.636874
8,hsa-mir-483,2.6762183
9,hsa-mir-193a,1.6407613
10,hsa-mir-211,1.0750201
11,hsa-mir-520b,2.8139877
12,hsa-mir-3928,-5.2212014
13,hsa-mir-551b,1.5965134
14,hsa-mir-1179,-4.5894165
15,hsa-mir-187,3.2574933
16,hsa-mir-548s,0.39690393
17,hsa-mir-1266,-0.19896913
18,hsa-mir-3614,-1.0660987
19,hsa-mir-607,-3.2850282
20,hsa-mir-525,0.56511635
21,hsa-mir-7-2,1.286848
22,hsa-mir-3127,-0.5301971
23,hsa-mir-3138,1.3746921
24,hsa-mir-3677,0.026435493
25,hsa-mir-23c,-2.0898798
26,hsa-mir-1537,-0.54960775
27,hsa-mir-190b,2.340483
28,hsa-mir-377,0.979921
29,hsa-mir-504,1.2185183
30,hsa-mir-4524a,-1.2016914
31,hsa-mir-548k,2.396189
32,hsa-mir-5090,-0.13686273
33,hsa-mir-33b,5.1169395
34,hsa-mir-548au,-2.024047
35,hsa-mir-204,1.0074662
36,hsa-mir-1306,0.2843915
37,hsa-mir-2116,0.3821505
38,hsa-mir-520e,-0.9115873
39,hsa-mir-3934,0.07226787
40,hsa-let-7d,1.775446
41,hsa-mir-491,-4.379835
42,hsa-mir-4491,-2.0759423
43,hsa-mir-1292,0.40517315
44,hsa-mir-18a,0.0882902
45,hsa-mir-590,2.4426975
46,hsa-mir-33a,-1.0719535
47,hsa-mir-628,-7.1773295
48,hsa-let-7g,-14.353825
49,hsa-mir-4766,1.8924686
50,hsa-mir-373,-5.411246
51,hsa-mir-125b-1,-0.79299504
52,hsa-mir-4691,2.0963202
53,hsa-mir-4745,0.71716124
54,hsa-mir-22,-4.9536004
55,hsa-mir-3611,-0.5934125
56,hsa-mir-490,-0.48259252
57,hsa-mir-624,-0.8068377
58,hsa-mir-378i,2.1902635
59,hsa-mir-3064,0.15810359
60,hsa-mir-197,3.4444103
61,hsa-mir-216a,1.8375859
62,hsa-mir-582,4.0245776
63,hsa-mir-4791,-0.17432395
64,hsa-mir-4676,-1.429429
65,hsa-mir-518b,1.1083581
66,hsa-mir-636,0.32675484
67,hsa-mir-519d,4.7842197
68,hsa-mir-4772,2.8058364
69,hsa-mir-4632,0.46345264
70,hsa-mir-1224,13.952285
71,hsa-mir-136,6.03431
72,hsa-mir-1303,0.10635426
73,hsa-mir-527,-1.9038503
74,hsa-mir-765,2.599389
75,hsa-mir-3691,-2.160197
76,hsa-mir-3177,2.604489
77,hsa-mir-1915,-0.91157657
78,hsa-mir-4473,-1.3696388
79,hsa-mir-326,-3.8676078
80,hsa-mir-3176,-0.7156667
81,hsa-mir-3682,-1.4686958
82,hsa-mir-301a,-3.1089804
83,hsa-mir-548b,-1.9211655
84,hsa-mir-802,-3.372517
85,hsa-mir-579,0.20135067
86,hsa-mir-5699,-0.3907908
87,hsa-mir-1249,-1.0174433
88,hsa-mir-3615,4.136287
89,hsa-mir-1277,0.041412033
90,hsa-mir-190a,-1.0903554
91,hsa-mir-1247,-0.5751418
92,hsa-mir-520d,-5.773249
93,hsa-mir-519c,-0.90586555
94,hsa-mir-522,-2.7674482
95,hsa-mir-520a,-2.1829455
96,hsa-mir-2114,-1.6385348
97,hsa-mir-339,-1.4586866
98,hsa-mir-641,0.7792688
99,hsa-mir-106a,-5.54499
100,hsa-mir-3174,-0.34017596
101,hsa-mir-4484,-1.4458274
102,hsa-mir-493,7.287868
103,hsa-mir-150,-1.1874137
104,hsa-mir-139,-2.6500776
105,hsa-mir-380,0.5041745
106,hsa-mir-107,-2.956963
107,hsa-mir-4685,2.4835756
108,hsa-mir-154,-5.0282187
109,hsa-mir-2115,2.3531463
110,hsa-mir-627,-3.1610467
111,hsa-mir-1276,3.6631079
112,hsa-mir-589,5.0966997
113,hsa-mir-5586,-0.6825032
114,hsa-mir-3651,-2.8316798
115,hsa-mir-518f,5.9749837
116,hsa-mir-1256,-1.1024635
117,hsa-mir-4733,0.47361934
118,hsa-mir-597,-2.086636
119,hsa-mir-488,-0.3386447
120,hsa-mir-561,0.040550984
121,hsa-mir-3909,0.74917233
122,hsa-mir-3923,0.4516232
123,hsa-mir-4677,-1.6206793
124,hsa-mir-1296,1.9919571
125,hsa-mir-454,2.716041
126,hsa-mir-3074,2.1837165
127,hsa-mir-3653,0.595684
128,hsa-mir-508,0.69644046
129,hsa-mir-642a,-0.48981628
130,hsa-mir-3662,-3.5584998
131,hsa-mir-520g,0.7112653
132,hsa-mir-135b,-2.7460136
133,hsa-mir-3187,-7.926899
134,hsa-mir-3140,6.0526114
135,hsa-mir-3679,-1.8650728
136,hsa-mir-520f,-0.67634434
137,hsa-mir-186,8.156215
138,hsa-mir-4707,-0.06696533
139,hsa-mir-518e,0.21735543
140,hsa-mir-632,-3.4771237
141,hsa-mir-1914,7.716823
142,hsa-mir-548e,1.0485691
143,hsa-mir-3144,0.16575852
144,hsa-mir-550a-3,2.0839078
145,hsa-mir-98,-9.466093
146,hsa-mir-217,5.2240944
147,hsa-mir-1295a,2.362086
148,hsa-mir-548o,1.969708
149,hsa-mir-3940,0.7515218
150,hsa-mir-206,-2.097957
151,hsa-mir-580,-2.1893997
152,hsa-mir-548y,1.2866089
153,hsa-mir-520c,4.7718706
154,hsa-mir-1269b,0.13968989
155,hsa-mir-216b,-2.6840155
156,hsa-mir-643,4.9852996
157,hsa-mir-4286,-2.6661704
158,hsa-mir-3609,0.860834
159,hsa-mir-4443,-1.0624348
160,hsa-mir-4746,0.33219296
161,hsa-mir-3192,-0.2567209
162,hsa-mir-573,-3.1172962
163,hsa-mir-106b,5.4213552
164,hsa-mir-214,2.2177002
165,hsa-mir-4326,-0.12344491
166,hsa-mir-210,0.35981816
167,hsa-mir-585,1.6397777
168,hsa-mir-296,-2.0889041
169,hsa-mir-621,2.7935808
170,hsa-mir-376b,-1.9757813
171,hsa-mir-940,3.5713136
172,hsa-mir-767,-1.7530768
173,hsa-mir-485,-0.9534094
174,hsa-mir-1271,1.0640445
175,hsa-mir-423,-1.2320058
176,hsa-mir-3607,-1.8371152
177,hsa-mir-205,3.273603
178,hsa-mir-526b,-2.0841832
179,hsa-mir-629,4.5615997
180,hsa-mir-518c,4.2052927
181,hsa-mir-769,10.576486
182,hsa-mir-3667,-3.5306435
183,hsa-mir-891a,2.476303
184,hsa-mir-184,-3.7743175
185,hsa-mir-331,2.2249672
186,hsa-mir-5690,4.172223
187,hsa-mir-432,-1.2849035
188,hsa-mir-520h,-2.1138406
189,hsa-mir-199b,-7.236942
190,hsa-mir-4802,-0.37735787
191,hsa-mir-3681,2.978044
192,hsa-mir-346,-3.1711884
193,hsa-mir-7-1,6.308031
194,hsa-mir-570,-4.6367984
195,hsa-mir-15b,-2.2302802
196,hsa-mir-3619,4.842098
197,hsa-mir-3150a,0.14439718
198,hsa-mir-23a,0.24424246
199,hsa-mir-942,8.00762
