,genes,values
0,SIRT7,-0.97233
1,ME1,0.28037378
2,TNFRSF17,1.3934603
3,TGFA,-6.3777957
4,SNRPD3,0.39772418
5,UTS2B,0.019702919
6,PIGA,-1.9235631
7,IFNG,-0.8163743
8,IL18RAP,-0.3185469
9,TRIM37,0.57745504
10,RPS5,-0.40664697
11,ZNF224,-0.73744476
12,ME2,0.14580734
13,GLCE,-1.6147164
14,TLE3,0.5347727
15,CDC25C,1.3101617
16,SDHB,-9.660076
17,SFN,-1.2478607
18,SRSF7,-2.1035173
19,THEM4,0.36482129
20,DTYMK,-0.5273306
21,P2RY2,0.12678051
22,PLCH2,-4.3856497
23,ZNF836,0.9118188
24,ZNF354A,2.0966246
25,SMURF2,-0.7521008
26,SNAP29,1.8578955
27,SUMO1,-2.5335052
28,IL7R,-1.0533265
29,CCNE2,0.4554197
30,PRH1,1.4016752
31,RICTOR,-2.743786
32,NT5C3A,-4.323809
33,CST5,-1.1874691
34,BRAP,0.03885335
35,CDKN2A,-1.9416604
36,ZNF814,0.12450857
37,P2RX7,0.1527509
38,RAD51,3.965695
39,UBE2E2,0.70734775
40,RAD54L,1.1683224
41,ZNF200,1.211169
42,ZNF248,0.9415911
43,ZNF746,-0.26926023
44,PER2,2.3856647
45,CYP39A1,1.1589103
46,RPL36A,0.023609763
47,CYBA,2.0231228
48,TFAP4,-0.4765203
49,PCNA,-1.0268613
50,IPO11,0.79010725
51,CHEK1,0.39905447
52,PDE9A,2.0486372
53,RBMX,0.6580861
54,CAMK1G,-0.42595902
55,NAT10,1.9088384
56,ZNF514,1.5020034
57,COL5A3,0.101060264
58,COL9A2,4.0591493
59,SFRP2,-0.38014564
60,TAT,-2.6599343
61,UCK2,1.0805905
62,INPP4A,1.5149107
63,GPR35,0.13624193
64,PPBP,-3.1871076
65,TXN,-0.31934696
66,PAFAH1B3,-2.4280186
67,MYO1A,0.56812257
68,SEMA4F,-0.015846197
69,SNRPA,-0.50985825
70,SMC1B,-0.006613724
71,CDKN2C,-0.2646397
72,UGGT1,-0.43763474
73,BMP5,4.8264985
74,CYP26A1,2.9456751
75,IL27RA,2.8076637
76,ATP6V0A2,0.41137573
77,ZNF829,-1.711273
78,LYPD6,0.15398583
79,INVS,0.05466641
80,TG,-0.04424528
81,RPL10,1.082476
82,POLE2,0.8321496
83,ZNF878,0.6340271
84,ZNF566,-1.4771852
85,PLK1,3.2812147
86,CDC20,0.9191049
87,NTRK2,-0.123340294
88,THOC7,1.2526855
89,SUMO2,2.6470902
90,STX19,-2.9585474
91,FLT3,-1.4866096
92,CUL2,-2.8817527
93,CAB39L,-2.6764274
94,ONECUT1,-0.61878663
95,MED24,-0.856028
96,CPS1,-3.2291677
97,RAP1GAP,0.618162
98,RUFY2,1.0743368
99,FANCE,-4.6555257
100,PLCB1,-6.27483
101,KCNJ11,-1.0847243
102,CYP3A7,-4.856197
103,CDC25B,1.2700664
104,MUC5B,-1.6574968
105,FLNC,2.2804112
106,STAG3,0.40763766
107,LSM5,0.8336016
