,genes,values
0,MMP2,-5.0462756
1,AP3S1,0.6518991
2,IFNG,-11.697327
3,NOS2,15.871562
4,MOCS3,3.0092626
5,ZNF224,4.63103
6,HPGD,-3.2581813
7,NFATC1,0.11210929
8,ACTN3,2.019447
9,PIKFYVE,1.8173721
10,RNF31,0.41429082
11,UBE3C,2.6363285
12,EPS15,-1.5159487
13,ZNF257,-3.5467095
14,ATG2A,0.02692422
15,OR5K4,-0.18867858
16,DUSP8,-0.64458656
17,PLCH2,-1.9285082
18,TNFRSF11A,-7.3131776
19,TAOK2,-0.7573743
20,EPHA4,7.1740723
21,PRKAB2,-2.7440798
22,ACAD8,1.9834106
23,ASAP2,3.67181
24,CD27,1.6383924
25,DOCK4,-0.34485072
26,MLH3,-0.92084706
27,SLC45A3,6.0526285
28,MTMR2,2.5974033
29,PRPF40A,3.0513093
30,SH3GL3,3.418546
31,OR5K1,-4.178251
32,BDH1,-0.70032966
33,DES,7.17557
34,OR5B17,-4.8097305
35,GRIA1,-13.032725
36,KCNQ4,0.2644367
37,ZNF814,-4.9181356
38,CYP1A1,3.5963523
39,ZNF746,4.6263084
40,FLT1,1.529364
41,HSPG2,-1.4998677
42,IL20RA,-4.5711055
43,CHRM3,-16.29782
44,CYP39A1,0.34762815
45,OR14A16,-3.037967
46,HRH3,-0.06338392
47,IL6R,9.781141
48,PGK2,-11.055409
49,PSMF1,1.3305532
50,ZNF484,4.7124705
51,CHEK1,2.945099
52,PGM3,-3.0152693
53,OR8I2,-5.681445
54,OR10C1,3.5221114
55,RBMX,1.1331999
56,CAMK1G,2.7206933
57,SCN2A,2.4476604
58,GAST,0.22781244
59,MLLT3,4.004752
60,SLC17A6,-6.1922174
61,SH3GL1,1.7776661
62,HERC4,1.686631
63,VCAN,8.26023
64,CDKN1B,-0.55719703
65,OR5L2,0.11928549
66,NDUFA10,-4.5752163
67,SH2B3,-0.27255273
68,CNGA4,-2.135712
69,HAAO,0.93533427
70,GNB4,-37.320538
71,PABPC1L2B,6.731073
72,SLC39A4,-6.1388206
