genes,Unnamed: 0,values
hsa-mir-3614,18.0,-0.444740336
hsa-mir-520e,38.0,-0.4661420872
hsa-mir-432,187.0,-0.5052870199999999
hsa-mir-211,10.0,-0.541778854
hsa-mir-4473,78.0,-0.5483528440000001
hsa-mir-579,85.0,-0.5835355659999999
hsa-mir-607,19.0,-0.633977794
hsa-mir-373,50.0,-0.6426137000000001
hsa-mir-3691,75.0,-0.665212708
hsa-mir-4677,123.0,-0.68150114
hsa-mir-33b,33.0,-0.7260012400000001
hsa-mir-190a,90.0,-0.7334202274
hsa-mir-491,41.0,-0.736595806
hsa-mir-3667,182.0,-0.7399759964
hsa-mir-3176,80.0,-0.7431175536000001
hsa-mir-216b,155.0,-0.772475888
hsa-mir-4802,190.0,-0.777879124
hsa-mir-7-2,21.0,-0.780347004
hsa-mir-331,185.0,-0.788260092
hsa-mir-508,128.0,-0.8044858822000001
hsa-mir-632,140.0,-0.858485941
hsa-mir-184,184.0,-0.8625886999999999
hsa-mir-1179,14.0,-0.9085344809999999
hsa-mir-597,118.0,-0.94386062386
hsa-mir-5586,113.0,-0.960756742
hsa-mir-940,171.0,-0.9752328560000001
hsa-mir-802,84.0,-0.9957144080000001
hsa-mir-642a,129.0,-1.0291686632800001
hsa-mir-5690,186.0,-1.068402094
hsa-mir-4733,117.0,-1.091145654
hsa-mir-3934,39.0,-1.11671473
hsa-mir-589,112.0,-1.117076856
hsa-mir-210,166.0,-1.1266830186
hsa-mir-106b,163.0,-1.1271083067999998
hsa-mir-23c,25.0,-1.142303458
hsa-mir-205,177.0,-1.160189908
hsa-mir-346,192.0,-1.181344878
hsa-mir-548au,34.0,-1.189622926
hsa-mir-3651,114.0,-1.28333107
hsa-mir-197,60.0,-1.284708202
hsa-mir-199b,189.0,-1.341622316
hsa-mir-570,194.0,-1.3539119768
hsa-mir-3928,12.0,-1.5102965552
hsa-mir-485,173.0,-1.5700328
hsa-mir-561,120.0,-1.6376183032
hsa-mir-1915,77.0,-1.6855665860000002
hsa-mir-3662,130.0,-2.3016308800000003
hsa-mir-548b,83.0,-2.49114538
hsa-mir-15b,195.0,-2.547083584
hsa-mir-154,108.0,-2.59187673
hsa-let-7g,48.0,-2.886496666
hsa-mir-98,145.0,-2.93990156
hsa-mir-22,54.0,-3.1255417216
hsa-mir-520d,92.0,-3.362261026
hsa-mir-106a,99.0,-3.4002402099999998
