,genes,values
0,C1GALT1,1.203971
1,MEIS1,-1.4921213
2,ERBB2,1.7161472
3,GDA,0.15615758
4,DDX23,0.07717728
5,SFRP4,-0.49799517
6,ZNF430,1.0301627
7,ATP2B3,1.1495291
8,GRM7,-1.3510467
9,ALDH1L1,-0.9401723
10,HTR2B,-0.26714873
11,UBA52,0.06291113
12,ATR,0.83968025
13,ZNF317,-1.1064731
14,PPCS,0.9588793
15,VMP1,0.05125552
16,INHBB,0.24935241
17,PLCH2,-0.37320426
18,HERC1,1.2784251
19,TTC37,-0.13497107
20,ATIC,-0.8372134
21,CXCR5,0.2651764
22,RASGRP1,0.501388
23,ZNF528,-1.1510981
24,KCNQ2,-0.056769148
25,CHSY1,-0.9639642
26,MASP1,0.7122231
27,PROS1,-0.068264335
28,RRP7A,0.27918968
29,ATG9A,-0.3810565
30,PLA2G4F,-3.8435771
31,MAN1B1,1.0440719
32,DCTN1,-0.5951752
33,NCOA1,0.4384571
34,CNOT1,0.27104098
35,CCNB3,0.07334734
36,HEXA,-0.355412
37,CARD16,0.85730636
38,TAOK1,0.0041227303
39,CA6,-0.35492066
40,POFUT2,0.3684259
41,CST5,0.5484917
42,SIRT1,-2.56483
43,ACSS2,0.67473626
44,CARD10,0.12122637
45,EEA1,-0.4770109
46,HERC4,-0.7791426
47,KIF22,0.07140542
48,TRPC3,-0.23317961
49,KRT10,0.4830217
50,FBP2,-1.4758532
51,HSP90B1,-0.86648303
52,ATP6V1A,0.4352553
53,HTR6,0.213249
54,PLK3,-0.12269939
55,REL,0.9964375
56,CHD8,0.18532798
57,KSR1,0.04337722
58,OR7A5,0.031997543
59,CNGB3,0.0014992049
60,HNRNPA3,0.33305266
61,KIR2DL4,-1.1797851
62,MRPS6,0.014812787
63,PTGR1,0.29753792
64,AIM2,0.4588489
65,PIK3R3,5.1920357
66,SRP9,0.26837072
67,TAS2R20,-0.28772262
68,SP1,2.2986233
69,MBL2,-0.35979345
70,PLA1A,-0.26129043
71,SP100,0.15619855
72,TNFRSF17,-1.1055918
73,IL20RA,-0.15028152
74,GNAL,-0.49809438
75,AHCYL2,-0.8734453
76,OR52K2,0.003982654
77,GALNT12,1.7650225
78,PIKFYVE,0.4252263
79,DHX58,0.26983362
80,OR5H1,-0.03359008
81,ZNF304,0.39688462
82,NFKBIB,0.9072826
83,BHLHE40,-0.19793017
84,THOP1,0.15496743
85,SEMA7A,0.17938197
86,CD1B,0.25529295
87,GBP7,0.7113895
88,OR10A5,0.03255487
89,BOC,0.37742484
90,ST8SIA5,-1.2579892
91,MRPL1,-0.0008362052
92,ZNF33B,1.1807766
93,MRPL16,0.0068769543
94,TGFBR2,0.4382612
95,MAP3K6,-0.029903008
96,NDUFB9,-1.7026275
97,TRPM6,-0.46437007
98,APPL1,0.25250635
99,SEMA6B,0.30095327
100,PTPRM,-0.2539786
101,CCL11,0.28151017
102,SNRPB,-0.055927258
103,NLK,-0.42410868
104,RASA2,0.4317234
105,ACSL5,0.3893966
106,CD5,0.14363502
107,MAP2K3,-0.5697087
108,KIF5B,2.4557893
109,ZNF565,0.7655907
110,WDR75,0.4044143
111,OR51G1,0.019119615
112,DSPP,-0.9832859
113,LRIG2,-0.2446856
114,PRDM2,-1.0478588
115,HLA-DOA,0.2633507
116,IRAK4,-1.092568
117,OXTR,0.069169536
118,CLCA4,0.518629
119,SKP1,0.83484495
120,CREB3L4,-2.4085925
121,MSTN,-0.22454444
122,TRPC5,0.087199144
123,ESRRB,-0.5274072
124,NOD1,-0.5271938
125,SHANK3,-1.4525609
126,PRPF38A,0.013377448
127,C1S,0.28331727
128,ST3GAL6,0.41840956
129,LGR6,0.05831043
130,SGPP2,1.5276872
131,NTRK3,0.7878214
132,HRH1,0.17402628
133,ZNF689,1.4004755
134,ZNF658,-1.493085
135,AFP,-0.0014960486
136,CPS1,-0.6775739
137,TAF9,-0.018266074
138,ZNF589,-1.2551178
139,LTA4H,-1.0329254
140,RPS21,0.01377633
141,NTNG2,0.32808697
