,genes,values
226,CA9,-0.41060472
227,HSD11B2,1.0405772
228,CTSW,2.666988
229,COMP,-0.8247324
230,PTGER2,-0.42690876
231,PLN,0.41616458
232,BCL2L11,1.4101292
233,SELP,3.834578
234,MTMR14,-2.5133944
235,APLN,-0.43716457
236,ACADVL,0.56258494
237,ADORA2A,0.85921234
238,CAMKK2,4.0320387
239,CASP12,-1.6865435
240,GGT5,-0.19214576
241,STIM2,1.1153187
242,PIGC,-0.40205637
243,SLC44A5,0.41580632
244,NR4A3,-3.0601506
245,ATP6AP2,0.13013862
246,SNRPB,0.19861008
247,PHKA2,-0.85424536
248,UBE2E1,-0.30807114
249,PTTG1,1.1527269
250,C7,2.2442746
251,OPRL1,-0.2966672
252,GGT6,5.094614
253,FANCG,0.3197051
254,GPAT2,-0.7991174
255,PINK1,-0.45997012
256,PIP5KL1,3.222518
257,CLDN2,3.3709757
258,NEIL3,-1.6425
259,DIS3L,0.46731573
260,RPLP1,-0.58271533
261,ZNF324B,-3.8392847
262,ZNF570,-5.0199833
263,PGAP1,1.8667473
264,GCLM,-0.343696
265,ALDH4A1,-1.4529433
266,DPYSL2,0.36545897
267,ACYP1,-1.5024462
268,GSTM5,-0.41620323
269,DNAJC1,0.1806626
270,ELN,0.3509214
271,THBD,-0.0035936632
272,IQGAP3,1.115884
273,DSG2,1.0256569
274,CCNT2,0.98110366
275,TAF9,0.9316025
276,SLC9A3,-1.4424402
277,CRTC3,1.3016113
278,UBE2L3,-1.7442688
279,ZNF440,1.3612733
280,RGCC,0.69675744
281,TUBA3C,-0.12651601
282,ZNF544,5.9725475
283,MAP4K1,0.81143105
284,IL17RE,0.3534602
285,TBL1Y,0.15933582
286,GDPD1,-1.352858
287,PRIM1,-1.0854411
288,DBF4,-0.3588951
289,PIGM,1.6991236
290,NUP62,0.5874499
291,NUP155,-0.23379965
292,CDK1,-1.4757715
293,ADM,1.5403049
294,PLK4,-0.0076200715
295,TUBA3D,-2.6880414
296,CXXC4,-0.09714671
297,ZNF85,4.5442905
298,RRAS2,-2.260335
299,KIF3A,0.11444414
300,KDELR3,-4.081046
301,TFF1,-2.3475127
302,DNM1,-0.39487407
303,NLGN4X,4.023699
304,GRPR,-0.1140777
305,POU2F3,-4.1556587
306,SRD5A3,0.18370748
307,ATG12,-1.9168147
308,ZNF583,4.9496546
309,ZNF66,-2.2899036
310,NR1H3,0.04022021
311,UBE2T,1.189306
312,XRCC2,-2.4573128
313,C9,-1.9291667
314,DHRS3,1.9336216
315,SLC36A4,-0.17529136
316,ZNF568,3.0490696
317,PIDD1,0.08636305
318,AP1S3,0.08595395
319,CASP2,-0.88710284
320,OR1F1,0.0029141516
321,ZNF569,4.797341
322,CNTFR,-5.3874145
323,PTGS1,5.9761333
324,SLC25A17,-0.3208845
325,KIF7,-1.574185
326,COL8A1,-0.30248263
327,ZNF222,1.9793216
328,STX6,-0.6391969
329,RBM17,-0.010947947
330,THOC2,-1.4387906
331,CCL8,2.718463
332,LCAT,0.3576295
333,CD2AP,2.3667884
334,DHH,0.26562944
335,SRR,-2.0907445
336,DYNC1LI1,-0.16799691
337,NDC1,0.52327687
338,AURKA,1.6001796
339,TRAF5,-6.9826756
340,ITGB3,-8.768747
341,POLA1,-1.0332371
342,NPAS2,0.46774313
343,CERS6,1.9492964
344,ZNF782,-0.28828093
345,PF4,-2.5947685
346,MCM6,-0.08695239
347,LUM,-0.79087436
348,ALG10B,-0.5504561
349,AXIN1,-3.4276307
350,AGPAT5,1.9690162
351,ZNF550,0.8524928
352,ARSB,3.7537494
353,STRADB,5.478602
354,CFHR3,-0.0033759295
355,RSL24D1,-0.94411165
356,TRAM1L1,0.15553142
357,SEPHS1,0.44623837
358,CCL18,1.5905819
359,PDE6C,0.5313796
360,UTP18,-0.14802776
361,PRCC,3.325277
362,IL13RA2,0.09390867
363,YOD1,0.24353765
364,RAPGEF3,5.5214562
365,PNMT,-0.114246145
366,CXCL14,2.9264543
367,POLR3F,-3.2632418
368,HERPUD1,0.54603034
369,ETV4,1.2366921
370,NPFFR2,-0.04131887
371,SP1,-2.5153627
372,GGA3,-1.0337305
373,CPSF4L,-3.2615051
374,TNFRSF19,2.5177414
375,NRG2,-2.531815
376,NXT1,3.390881
377,SRSF3,-5.553167
378,SLC22A5,0.15843342
379,PTCH1,0.3432063
380,ZNF589,-3.923178
381,UST,0.020020183
382,ENTPD8,-1.6035933
383,UBE2O,1.0848511
384,ARHGEF4,1.0237662
385,NTF3,6.791537
386,FYN,0.8252275
387,ZNF26,-0.24795645
388,SNX5,-0.6998913
389,SULT1A2,0.007954149
390,LIG1,-0.009298927
391,MRPL17,0.18444024
392,WDR43,-0.058790393
393,CDKN2D,0.8690644
394,ATIC,-0.44845274
395,SLC26A3,0.2548555
396,PIP4K2B,-1.7130494
397,ZNF33A,1.5226121
398,TALDO1,-0.60516274
399,EZH1,-1.1332726
400,SARS2,0.55984956
401,HAO2,6.2554426
402,CYP2E1,-5.3829
403,RPS15A,-2.520132
404,SELE,-2.7498481
405,WNT3,-3.0931475
406,GSK3A,-0.7504535
407,ZNF383,5.424086
408,CARD14,1.0464674
409,TMSB4Y,2.509358
410,FANCM,-0.8834229
411,CTNNA2,0.5936593
412,UGCG,-1.5250293
413,KCNJ12,0.8182792
414,FANCI,0.30647537
415,PQBP1,0.1435874
416,LDHC,-5.1690674
417,WIPF3,-0.6026007
418,ZNF420,4.9244833
419,PIGX,0.96916544
420,SGPP2,1.4680007
421,AVPR2,-0.36000514
422,RAG1,-0.023433544
423,CUL7,-0.5468167
424,CASC3,-1.0618393
425,CD2,-2.5388005
426,CD24,0.0962333
427,UBE2Z,1.1662
428,CISH,-4.2041426
429,CDC45,0.51643014
430,EZH2,-2.0477974
431,ZNF81,-2.6508613
432,ZNF90,2.4683387
433,TAF11,1.941321
434,ITGAV,3.4895918
435,ARG2,-2.8765318
436,PTGDS,2.56763
437,RIF1,-1.6117742
438,WEE1,0.5141411
439,S1PR2,0.043362435
440,CCL19,-1.749171
441,TLR6,0.3707711
442,RPS16,-1.8392667
443,ZNF471,2.980007
444,NPRL2,0.44400305
445,CXCL11,-4.3893313
446,HSD17B3,0.091058955
447,SOCS7,2.2789972
448,POMGNT2,-1.0835447
449,PRKCQ,0.704798
450,NDUFB11,0.3456804
451,UPF2,-2.7333925
452,NME1,0.5451158
453,CTNNA3,5.2869744
454,OGDHL,-1.5337737
455,AGAP3,1.069067
456,ATP1A1,-1.5484444
457,UNC5A,0.5778567
458,SLC2A5,-2.326467
459,COL2A1,-1.2176089
460,LRAT,1.7217646
461,GSR,-0.9066375
462,DHX8,0.74194384
463,ZNF37A,-5.4977574
464,ZNF221,2.730709
465,CDC25A,-2.8931742
466,IFI16,-0.64382505
467,RNPS1,-0.13734469
468,BST1,-2.0800982
469,COL14A1,0.05135002
470,FBL,-0.04698954
471,CD37,0.2760336
472,CD58,1.1067325
473,ZNF442,2.1985948
474,GSTM3,3.7430248
475,TWIST2,0.1439695
476,HMGCL,-0.7127444
477,IPO13,-0.4372259
478,EPHA2,3.2505102
479,ICA1,0.333989
480,SLC6A12,0.08718286
481,HNRNPA3,-0.011653126
482,NPLOC4,-0.5125116
483,RPP40,-0.22822686
484,CYP1A2,6.4494734
485,ARNT2,-5.378658
486,PWP2,-0.3504667
487,GABBR2,6.8175545
488,HSPA1A,-0.8550904
489,ACSS2,-0.6722716
490,MGAT5,0.9040698
491,BMS1,0.004070511
492,TLX1,-1.4637213
493,SEMA3A,-0.030199455
494,TOPBP1,2.5074983
495,KIF5C,-0.07003906
496,NRXN2,-4.058715
497,RPS6KB1,8.70347
498,RGMA,0.68034977
499,PIK3R2,9.29088
500,PGP,-2.0827382
501,PTH2R,0.15100995
502,KIF23,0.60108507
503,CCR2,-4.156023
504,MST1R,-0.89996976
505,EFNA3,3.1977606
506,HS2ST1,-2.3570602
507,SOX4,0.80497056
508,VTCN1,3.040258
509,BRAF,3.836309
510,RPL10L,2.352473
511,PRPF3,0.075429805
512,ISY1,0.020347936
513,DEGS2,-4.016734
514,UBQLN4,-0.3098195
515,DNAH11,0.77849865
516,NLGN4Y,-2.6796205
517,FABP4,-0.05333952
518,KPNA5,-0.22934562
519,RAMP3,-1.7876972
520,XPO1,-1.413354
521,PTPRJ,-0.03939673
522,PTCH2,-0.44345507
523,MYLK4,-5.539346
524,SEMA3B,-0.06801121
525,CARD11,-0.73123753
526,COL7A1,0.020064656
527,PGD,-3.197952
528,ZNF585A,5.8729177
529,GTSE1,-0.3360974
530,CBR3,1.6981962
531,ALYREF,-7.6189404
532,SYT1,-1.5581129
533,SAP30,4.043697
534,ACACA,0.6073161
535,CERS5,-1.7228204
536,ZNF681,1.7604781
537,SUV39H1,-0.18707533
538,P2RX6,-0.58142036
539,TEK,-2.982064
540,DCTPP1,-0.66724724
541,ST6GALNAC2,0.60689676
542,VPS29,-1.2704886
543,VNN1,1.0646703
544,COL8A2,-0.019604241
545,SLC2A4,1.4271067
546,CHMP4A,2.3662345
547,SAT2,0.4339684
548,TAF4,0.7482131
549,NSFL1C,0.6161615
550,CKS1B,1.4536293
551,PTDSS2,-0.84152293
552,ZNF674,0.5863326
553,TRPC5,0.43296862
554,IPO7,0.2067188
555,NUP43,0.23213048
556,ZNF84,1.4127846
557,ACYP2,0.1184582
558,MATR3,-1.2227812
559,FLAD1,-0.4939085
560,ZNF343,3.7805493
561,ENTPD2,0.40130806
562,RBPJ,-5.859383
563,TUBB,0.7071243
564,IPO4,-0.41794792
565,CCL16,4.820913
566,CYP27C1,1.2823715
567,PPIF,1.0993043
568,NOP56,-0.012650363
569,EIF4EBP1,12.934013
570,ENPP3,-1.5766248
571,UBE2S,1.4856585
572,ALG6,-0.47600263
573,TDO2,0.18671027
574,UBE4A,-2.1449006
575,ZNF195,0.8578023
576,TFPI,0.01740241
577,GLUD1,5.8676095
578,PDX1,-0.82147247
579,PKMYT1,0.7188349
580,ACSS3,-0.91578275
581,RANBP1,2.0017116
582,DIO2,0.036073122
583,CLDN19,-2.6671035
584,ID4,-0.48533705
585,EEF1A2,-0.06940437
586,TJAP1,1.845349
587,NRG4,-2.275634
588,NAT2,2.920823
589,HSD17B1,3.9325585
590,SRPK1,-5.2864127
591,MAPK10,6.6201844
592,DCN,-0.138943
593,ZNF169,0.9214665
594,XPO5,-0.36889708
595,FBXO4,1.9125367
596,ERCC8,1.3949083
597,MRPL30,1.8139307
598,TRIM32,-0.75063056
599,RPS21,1.9341784
600,SERPINA7,0.21785736
601,MCM5,0.11776102
602,B3GAT3,-2.522356
603,CD8A,-3.4718242
604,MRAS,2.7542846
605,MBOAT1,0.5529375
606,WDR75,-0.16418071
607,HTR2B,5.24992
608,ULBP2,1.4597872
609,DCP1A,-2.4117084
610,PIGS,0.9934607
611,SNRPD1,0.017185565
612,AK9,0.38263664
613,ACAA1,-4.9065576
614,ZNF793,-5.690559
615,AMOTL2,1.7200123
616,SNAP25,-0.053576365
617,GABARAPL1,1.9865315
618,ALOX15B,-0.3735674
619,MSH6,0.39965415
620,COL22A1,-0.08609838
621,UTP6,-0.10801856
622,PPP1R1A,-3.4033606
623,ZNF727,2.3876233
624,RAD51C,0.4080736
625,CYP27B1,2.6341763
626,CSNK2B,1.6484144
627,ZFP37,5.854447
628,ELANE,0.6256537
629,CFHR4,0.011703857
630,ANO2,0.01541233
631,DSG1,0.08630499
632,NKD2,1.2258936
633,CD70,1.1302208
634,GATC,0.060697075
635,B4GALNT3,0.5114403
636,RNASEH2A,-0.3999916
637,POMGNT1,-0.5052466
638,HDAC2,9.026211
639,ZNF562,-1.1076256
640,FKTN,1.1388518
641,AMD1,0.30040416
642,SSTR5,-0.467223
643,FZD9,-2.8784037
644,CYSLTR2,0.33706284
645,ZNF792,-1.2149075
646,PRKCA,-1.6034245
647,PIGT,3.3940938
648,NUP210,0.8051925
649,SLC1A2,0.70915836
650,SLCO1B1,-0.7299172
651,CCNB1,1.664826
652,RPTOR,4.7006783
653,ADH4,7.904853
654,B4GALNT1,1.1577156
655,RFC5,0.58877003
656,SGCB,0.48342833
657,AGRP,-0.70947164
658,EPHB3,-0.45946717
659,TRPV3,2.9460409
660,PRKAR2B,-3.2893286
661,ENPP4,2.0969398
662,FEN1,-0.122372575
663,GAL3ST1,1.9533144
664,MLYCD,4.243203
665,MCM2,-0.48341122
666,GIT1,1.9111124
667,ZNF141,-5.7675943
668,GALNT15,-0.9618953
669,RRM2,3.164041
670,SEC61A2,2.1252828
671,ATP6V0D2,2.9481566
672,KLF2,-0.024671232
673,UNC5C,-0.03711088
674,P2RX4,1.3225374
675,GNL3,-0.35782647
676,IPMK,-2.5786471
677,GPD1L,-1.4625003
678,DCLRE1C,3.1761909
679,HSD3B7,0.6740971
680,RPL27,1.3117365
681,MAFA,0.86875796
682,IL17RB,-2.1304905
683,SMPD2,0.72226137
684,EIF2B3,2.6944985
685,HS3ST2,0.42462817
686,ACAT2,3.8003204
687,IL12RB2,0.7557308
688,CLCN2,-1.0170175
689,SUV39H2,-0.30028924
690,SRSF2,7.0338173
691,USP1,-0.89560324
692,PABPC1L,-1.1434083
693,PSMD3,6.662794
694,BOC,-0.4994136
695,UBE2C,1.5525223
696,BUB1B,-0.365625
697,CORO1A,0.16764821
698,STX2,0.674118
699,CD79A,0.36888993
700,LSM2,-4.456872
701,BRCA1,-0.74118024
702,CHAC2,-4.647722
703,ZNF20,-6.1581345
704,POLR3C,4.790117
705,SLC27A5,-1.8893492
706,NR3C1,0.12003178
707,MED13,-0.13014476
708,GSTP1,-0.08806663
709,INPP5F,-0.39679345
710,ZNF74,-1.7673197
711,PPP1CC,-1.9963062
712,RAB33B,-0.9587051
713,ERCC6,0.114556454
714,ZNF284,5.170804
715,HSD3B1,-2.0379179
716,HSPA1B,8.011075
717,CRNKL1,0.6299751
718,EGLN2,1.9211998
719,BRIP1,-1.1642704
720,BUB3,-1.2273929
721,VKORC1L1,-0.21446587
722,SLC3A1,0.28168184
723,SNRPC,-0.55955225
724,ANAPC1,0.018518917
725,CYP3A4,3.9574656
726,ATP2A3,1.3867253
727,INMT,-0.04404978
728,CXCR3,-0.40608874
729,ADA,0.2443874
730,EDC3,1.3310416
731,NAT8L,-0.063745014
732,ZNF10,-4.2908573
733,MPZ,-3.5219598
734,SEMA5A,0.20499915
735,VMP1,1.108494
736,CSNK2A3,2.3574543
737,ST3GAL5,2.362205
738,EXO1,-0.123135425
739,XRCC3,1.9795991
740,SSR1,0.46457708
741,NAMPT,1.3924983
742,SNRPB2,0.9246047
743,PEMT,-0.1325562
744,RFK,-5.0972977
745,EML4,1.6243112
746,RXRG,-5.107007
747,IAPP,0.4745367
748,SFRP1,-0.07427693
749,ZNF382,1.128795
750,ATP1B2,3.4022958
751,SRP68,2.6941948
752,TCN2,0.24911268
753,CNOT10,4.1553173
754,PPAT,-2.55302
755,FMO2,-3.2494123
756,PLAT,-4.8061237
757,CSTF3,-2.9434268
758,CRTC2,-1.7654772
