,genes,values
0,hsa-mir-149,-3.2609987
1,hsa-mir-3622a,0.03229346
2,hsa-mir-658,-0.55472237
3,hsa-mir-887,2.157305
4,hsa-mir-25,1.101658
5,hsa-mir-4705,-1.2757055
6,hsa-mir-552,-0.08791131
7,hsa-mir-495,1.0144826
8,hsa-mir-483,3.1024034
9,hsa-mir-193a,0.6966944
10,hsa-mir-211,-1.6218978
11,hsa-mir-520b,1.1814891
12,hsa-mir-3928,-1.0843446
13,hsa-mir-551b,0.089437105
14,hsa-mir-1179,-0.075497895
15,hsa-mir-187,0.491021
16,hsa-mir-548s,0.25858322
17,hsa-mir-1266,0.016749248
18,hsa-mir-3614,0.08474549
19,hsa-mir-607,-0.21292415
20,hsa-mir-525,0.22354181
21,hsa-mir-7-2,-2.7858937
22,hsa-mir-3127,-1.1835539
23,hsa-mir-3138,-0.033386324
24,hsa-mir-3677,0.07043917
25,hsa-mir-23c,0.8602438
26,hsa-mir-1537,0.2561362
27,hsa-mir-190b,-0.62009853
28,hsa-mir-377,-0.5152592
29,hsa-mir-504,0.5660657
30,hsa-mir-4524a,0.13612199
31,hsa-mir-548k,0.74264765
32,hsa-mir-5090,0.02852387
33,hsa-mir-33b,-1.4493219
34,hsa-mir-548au,-0.9819136
35,hsa-mir-204,-1.0489657
36,hsa-mir-1306,0.5356331
37,hsa-mir-2116,-0.7284942
38,hsa-mir-520e,0.19174083
39,hsa-mir-3934,-0.14600414
40,hsa-let-7d,-1.1079971
41,hsa-mir-491,0.11471913
42,hsa-mir-4491,1.491909
43,hsa-mir-1292,-0.6642764
44,hsa-mir-18a,0.496761
45,hsa-mir-590,-1.0313936
46,hsa-mir-33a,0.48388976
47,hsa-mir-628,-0.09154951
48,hsa-let-7g,1.6082629
49,hsa-mir-4766,-2.1861792
50,hsa-mir-373,-1.5264987
51,hsa-mir-125b-1,-1.1867219
52,hsa-mir-4691,1.6263139
53,hsa-mir-4745,-1.6994597
54,hsa-mir-22,0.057049792
55,hsa-mir-3611,1.1425036
56,hsa-mir-490,1.6120551
57,hsa-mir-624,-2.9991443
58,hsa-mir-378i,-0.09728965
59,hsa-mir-3064,1.4507763
60,hsa-mir-197,-1.6486102
61,hsa-mir-216a,2.379342
62,hsa-mir-582,0.25071514
63,hsa-mir-4791,-1.2977109
64,hsa-mir-4676,-0.016110038
65,hsa-mir-518b,-0.121956624
66,hsa-mir-636,0.23001306
67,hsa-mir-519d,0.31251988
68,hsa-mir-4772,-0.7405512
69,hsa-mir-4632,-0.18903005
70,hsa-mir-1224,-0.881985
71,hsa-mir-136,1.2163138
72,hsa-mir-1303,-1.3217411
73,hsa-mir-527,-0.37570384
74,hsa-mir-765,-1.0508993
75,hsa-mir-3691,0.5261238
76,hsa-mir-3177,0.7752411
77,hsa-mir-1915,0.6679538
78,hsa-mir-4473,-0.20781468
79,hsa-mir-326,0.45697913
80,hsa-mir-3176,-1.8422749
81,hsa-mir-3682,-0.65387094
82,hsa-mir-301a,1.5039996
83,hsa-mir-548b,-1.3858418
84,hsa-mir-802,-0.20989498
85,hsa-mir-579,2.0259368
86,hsa-mir-5699,-1.0804186
87,hsa-mir-1249,-0.6255027
88,hsa-mir-3615,1.6537055
89,hsa-mir-1277,-3.5421102
90,hsa-mir-190a,0.059603363
91,hsa-mir-1247,0.024276005
92,hsa-mir-520d,-2.4423256
93,hsa-mir-519c,-0.35797068
94,hsa-mir-522,-4.644758
95,hsa-mir-520a,2.6230145
96,hsa-mir-2114,0.3790797
97,hsa-mir-339,0.047071822
98,hsa-mir-641,5.3415794
99,hsa-mir-106a,-1.1184201
100,hsa-mir-3174,3.0261266
101,hsa-mir-4484,-0.85547024
102,hsa-mir-493,0.1309877
103,hsa-mir-150,-1.7179444
104,hsa-mir-139,-0.6040183
105,hsa-mir-380,0.0431151
106,hsa-mir-107,2.7334583
107,hsa-mir-4685,0.3290463
108,hsa-mir-154,-0.19630335
109,hsa-mir-2115,0.42937672
110,hsa-mir-627,-3.1263146
111,hsa-mir-1276,-2.9800444
112,hsa-mir-589,0.7162451
113,hsa-mir-5586,0.22964239
114,hsa-mir-3651,-0.30104822
115,hsa-mir-518f,-1.035997
116,hsa-mir-1256,0.25448745
117,hsa-mir-4733,0.53558826
118,hsa-mir-597,0.538316
119,hsa-mir-488,2.3158135
120,hsa-mir-561,-1.2571107
121,hsa-mir-3909,0.4516737
122,hsa-mir-3923,0.6539038
123,hsa-mir-4677,-0.18213715
124,hsa-mir-1296,-0.7037364
125,hsa-mir-454,2.6729376
126,hsa-mir-3074,-0.0286018
127,hsa-mir-3653,0.1659713
128,hsa-mir-508,1.0647436
129,hsa-mir-642a,-0.34620285
130,hsa-mir-3662,0.7112247
131,hsa-mir-520g,0.22017293
132,hsa-mir-135b,-0.9621688
133,hsa-mir-3187,-1.206991
134,hsa-mir-3140,-2.242076
135,hsa-mir-3679,-1.9403151
136,hsa-mir-520f,0.033818446
137,hsa-mir-186,0.867296
138,hsa-mir-4707,0.5417579
139,hsa-mir-518e,-0.3300123
140,hsa-mir-632,0.42312986
141,hsa-mir-1914,1.4957231
142,hsa-mir-548e,-0.38306606
143,hsa-mir-3144,0.38524333
144,hsa-mir-550a-3,-0.3709498
145,hsa-mir-98,-1.2786071
146,hsa-mir-217,2.4083962
147,hsa-mir-1295a,-0.2548019
148,hsa-mir-548o,2.1677203
149,hsa-mir-3940,-0.08966461
150,hsa-mir-206,-2.0720663
151,hsa-mir-580,2.035195
152,hsa-mir-548y,1.5417192
153,hsa-mir-520c,-0.9244585
154,hsa-mir-1269b,-0.048861686
155,hsa-mir-216b,0.49477512
156,hsa-mir-643,-2.1166527
157,hsa-mir-4286,0.29524118
158,hsa-mir-3609,0.11063802
159,hsa-mir-4443,0.06363456
160,hsa-mir-4746,-0.34483963
161,hsa-mir-3192,0.083346
162,hsa-mir-573,0.5648652
163,hsa-mir-106b,-0.023721004
164,hsa-mir-214,2.0558584
165,hsa-mir-4326,-0.6922502
166,hsa-mir-210,0.6897169
167,hsa-mir-585,-1.2686346
168,hsa-mir-296,-0.07281651
169,hsa-mir-621,-0.12106017
170,hsa-mir-376b,1.3851329
171,hsa-mir-940,0.85562974
172,hsa-mir-767,-0.38769338
173,hsa-mir-485,-0.8782003
174,hsa-mir-1271,1.148834
175,hsa-mir-423,0.24578175
176,hsa-mir-3607,-1.6705506
177,hsa-mir-205,-1.3252023
178,hsa-mir-526b,-0.29059914
179,hsa-mir-629,-4.8088555
180,hsa-mir-518c,2.0862572
181,hsa-mir-769,-1.9140577
182,hsa-mir-3667,0.43478262
183,hsa-mir-891a,-1.4230456
184,hsa-mir-184,-2.1312816
185,hsa-mir-331,-4.1754856
186,hsa-mir-5690,-1.0511894
187,hsa-mir-432,-1.6774431
188,hsa-mir-520h,-0.2735112
189,hsa-mir-199b,-3.415372
190,hsa-mir-4802,0.7781132
