,genes,values
0,MMP2,-0.7795009
1,AP3S1,0.05871932
2,IFNG,-0.38799444
3,NOS2,-1.161548
4,MOCS3,0.010849763
5,ZNF224,0.32369813
6,HPGD,-0.5071148
7,NFATC1,0.12724462
8,ACTN3,-0.764585
9,PIKFYVE,-0.48821044
10,RNF31,-0.109073915
11,UBE3C,0.95994157
12,EPS15,-0.12789953
13,ZNF257,0.31544822
14,ATG2A,-0.15694262
15,OR5K4,0.04512037
16,DUSP8,-0.029485524
17,PLCH2,-0.17547162
18,TNFRSF11A,-0.2695667
19,TAOK2,0.025212238
20,EPHA4,-0.0037277685
21,PRKAB2,2.9802663
22,ACAD8,0.110286236
23,ASAP2,0.09754806
24,CD27,1.098095
25,DOCK4,-0.12286007
26,MLH3,-0.7796793
27,SLC45A3,0.29403436
28,MTMR2,0.70225984
29,PRPF40A,0.005525347
30,SH3GL3,0.2984852
31,OR5K1,0.06679738
32,BDH1,-0.070366986
33,DES,0.8942466
34,OR5B17,0.16382033
35,GRIA1,0.6796405
36,KCNQ4,-0.060729265
37,ZNF814,0.41981313
38,CYP1A1,0.89463717
39,ZNF746,-0.18359631
40,FLT1,-0.45889252
41,HSPG2,-1.1004692
42,IL20RA,-0.71219647
43,CHRM3,-0.41185993
44,CYP39A1,-0.037439685
45,OR14A16,0.116821654
46,HRH3,0.4966496
47,IL6R,0.5696725
48,PGK2,-0.81740665
49,PSMF1,-0.010315984
50,ZNF484,0.16503738
51,CHEK1,-0.8371472
52,PGM3,-0.30469465
53,OR8I2,-0.04584206
54,OR10C1,-0.18320478
55,RBMX,0.015251954
56,CAMK1G,0.15337509
57,SCN2A,-1.0829535
58,GAST,-0.26736194
59,MLLT3,0.07728178
60,SLC17A6,-0.56728935
61,SH3GL1,-0.10343707
62,HERC4,-0.11706161
63,VCAN,0.4840478
64,CDKN1B,1.3345997
65,OR5L2,-0.0435169
66,NDUFA10,-0.47810614
67,SH2B3,0.022835344
68,CNGA4,0.0033915497
69,HAAO,-0.04570637
70,GNB4,-0.7787832
71,PABPC1L2B,0.03380734
72,SLC39A4,0.13165666
73,CDKN2C,-0.82599455
74,PABPC1,1.1220008
75,TUSC3,0.5529886
76,VAMP3,0.07482585
77,MOS,-0.61119306
78,POLE2,-0.23036604
79,FUT3,0.45443615
80,NTRK2,-0.032950595
81,SLC10A1,-0.2197531
82,UGT2B15,0.67300296
83,FLT3,0.14256841
84,SLC40A1,0.02674581
85,CUL2,-0.655841
86,KRT33A,0.85744053
87,MYO10,0.87247074
88,RPL22,0.15267952
89,ACTR3B,-0.8647049
90,GLO1,-1.0816733
91,INPP5E,0.2807378
92,CYP3A7,0.4366948
93,KAT2B,0.58099735
94,B3GNT5,0.54615724
95,ADRA2C,-0.57528794
96,NUP210L,-0.07630855
97,SLC3A2,-0.21766007
98,PSMD1,-0.49625218
99,BRK1,0.12352715
100,TAOK1,0.027923465
101,GAA,0.51851076
102,CACNA1B,1.3673424
103,ZFYVE1,-0.27403802
104,NRG1,0.039771616
105,CTSK,0.2894445
106,CD80,0.06661118
107,COX5A,-0.60275865
108,P2RY1,-0.18944122
109,ADI1,-0.47875747
110,NCOA7,0.27397773
111,TPH2,0.5249521
112,SYNPO,-0.26556307
113,MGAT4C,0.28608033
114,UBOX5,-0.18204534
115,LANCL1,-0.4835045
116,TNNT2,-0.3972247
117,IRF9,0.09106831
118,HTR3E,0.8451394
119,P2RY4,-0.5239499
120,SCNN1A,-0.4824842
121,ZNF426,-0.4291575
122,CD79B,-0.002961598
123,TBX3,-0.8739183
124,CHRNA9,0.24802768
125,SHANK2,0.0899254
126,PARP2,0.9303532
127,CD1D,0.33406773
128,TP53,1.6671761
129,SLC44A1,0.6402816
130,OR2T34,0.06209774
131,ZNF225,0.46806818
132,B4GALT5,0.23324269
133,EHMT1,-0.7070554
134,MRPL28,0.33930454
135,ZNF3,-0.45330918
136,TARS2,0.6668238
137,KIR3DL2,0.76838565
138,PGK1,-0.62181383
139,SPOP,0.09353691
140,HHIP,-0.19363679
141,CACNA1H,-0.1861803
142,OR10G2,-0.16063093
143,IL13RA1,-0.96269274
144,NLGN2,-0.14726733
145,PLXNB3,0.3096423
146,CFL1,0.108373575
147,PSMC2,0.22760771
148,ZNF785,-0.13509698
149,SCN7A,0.026956817
150,DAB2IP,0.0041111307
151,DNAJA2,0.2313571
152,ATP1A2,0.480594
153,ST6GALNAC3,0.057352237
154,IRAK1,-0.7016237
155,MYO1F,0.124982856
156,CUL3,0.84604174
157,SMPD4,0.43073657
158,P4HA2,0.2974266
159,BIRC5,0.04405417
160,THBS3,0.0763919
161,ABCA8,0.63822013
162,SEMA3F,0.24401215
163,FBN1,-0.5389763
164,CFHR5,0.38702136
165,SERPINB2,-0.18064763
166,EIF2AK2,0.895728
167,MTNR1B,-0.061438635
168,ZNF302,0.26682076
169,RPL4,-0.27639076
170,DICER1,0.34777522
171,PLA2G3,-0.17941144
172,TPM1,-0.036437903
173,ZNF823,0.15804856
174,ZNF83,0.21168242
175,EIF2AK1,-0.15522547
176,MPDZ,0.021828635
177,CHRM4,0.48897046
178,RAPGEF2,0.23227407
179,LAMA1,1.2734528
180,SCIN,0.16712704
181,CACNA1E,0.012629116
182,NMUR2,-0.1541212
183,SIGLEC1,0.7293846
184,ZNF565,-0.34444404
185,CTSS,0.28474563
186,SEC23A,0.09275331
187,IARS2,0.6828976
188,PAICS,-0.10037193
189,CUL4B,-0.6148306
190,RXRB,0.76338947
191,ZNF317,-0.23294136
192,MLLT1,0.012035424
193,PPP2R3A,-0.45271775
194,ITPR3,0.3552904
195,SEC31B,0.45809558
196,CAMKK2,0.49481747
197,DNM3,0.048135694
198,ANTXR2,-0.57160455
199,SLX4,0.20331375
200,GGT5,-0.25735733
201,OR4K17,0.09654279
202,SYF2,-0.0030977135
203,ACAP1,0.31872937
204,DKK2,0.36758196
205,GNPTG,-0.17742664
206,PHKA2,-0.7223095
207,NF1,-0.41197821
208,NPC1,0.064705744
209,IGSF1,0.7548104
210,RYR3,0.24016304
211,FHL1,0.9613382
212,PCGF2,-1.0632604
213,PSMB11,-0.36886176
214,CD8B,-0.18313974
215,PRPF38B,0.027269056
216,CLDN2,-0.2102256
217,RAB31,-0.35808527
218,NEIL3,0.46276033
219,TRPM8,-0.25351343
220,ARAP2,-0.10566738
221,DDX39B,0.17960319
222,FXN,0.30483058
223,RASA1,0.34216943
224,BCAT1,0.24691413
225,OR8K3,-0.05101204
226,CBLB,0.20379066
227,ZNF91,-0.38909993
228,TSLP,-0.32175803
229,CNGB1,0.0014166505
230,DNAJC1,-0.25755385
231,THBD,0.048131153
232,LYN,0.30836293
233,NGFR,1.2286252
234,SLC9A3,0.24097739
235,DTX3,0.20127371
236,MAP4K1,-0.026481131
237,RALGDS,-0.09132802
238,IKBKB,2.1806285
239,CALR,0.46365726
240,OR10K1,0.14298199
241,MYO5B,-0.57680815
242,PIGM,-0.3787979
243,P4HA3,0.8617729
244,GDF2,-1.0542083
245,TUBA3D,-0.6933641
246,ERBB2,0.35849988
247,ZNF417,0.2046229
248,NGLY1,0.32785892
249,SOCS6,0.116067275
250,AKT2,0.96908176
251,TRPM2,-0.03788382
252,LAMC1,-0.41888636
253,THOC1,0.0022772292
254,TLR3,0.3616426
255,TRPV1,-0.36986932
256,HMGB1,0.5381975
257,IL21R,-0.8643224
258,PIDD1,-0.29276916
259,ZEB1,0.12778997
260,OR1K1,0.055770103
261,ARFGEF2,-0.23163523
262,RPS3A,0.44922265
