,genes,values
0,hsa-mir-125b-1,0.9485917
1,hsa-mir-935,0.77776784
2,hsa-mir-3143,0.09217605
3,hsa-mir-543,0.21232511
4,hsa-let-7c,0.39010444
5,hsa-mir-137,-0.22850527
6,hsa-mir-4707,-0.022576649
7,hsa-mir-5090,-0.041222293
8,hsa-mir-5001,-0.12693894
9,hsa-mir-370,-0.7227812
10,hsa-mir-1260b,1.9602547
11,hsa-mir-612,1.0263306
12,hsa-mir-4424,-0.24779373
13,hsa-mir-214,-0.62265015
14,hsa-mir-466,0.1458922
15,hsa-mir-455,-0.01445498
16,hsa-mir-758,0.44592845
17,hsa-mir-3667,0.18055077
18,hsa-mir-143,-0.3253977
19,hsa-mir-4685,-0.47497764
20,hsa-mir-95,-0.12697417
21,hsa-mir-127,-0.19227229
22,hsa-mir-216b,-0.6072704
23,hsa-mir-5193,-0.044516895
24,hsa-mir-3117,-0.24447852
25,hsa-mir-3943,-0.3187628
26,hsa-mir-659,0.16658214
27,hsa-mir-655,0.14646989
28,hsa-mir-380,0.15699914
29,hsa-mir-3144,-0.20532112
30,hsa-mir-154,0.08407909
31,hsa-mir-4449,-0.20312013
32,hsa-mir-337,1.6561073
33,hsa-mir-3662,1.1785375
34,hsa-mir-561,0.19806175
35,hsa-mir-92b,0.3912054
36,hsa-mir-506,-0.67543095
37,hsa-mir-548y,0.4371492
38,hsa-mir-1911,-0.26684535
39,hsa-mir-4521,-0.813727
40,hsa-mir-410,-0.328145
41,hsa-mir-409,0.041031096
42,hsa-mir-1185-2,-0.20003477
43,hsa-mir-379,-0.81721103
44,hsa-mir-658,0.6169477
45,hsa-mir-1305,0.6299697
46,hsa-mir-1294,-0.6892635
47,hsa-mir-4454,0.031408325
48,hsa-mir-584,0.9135349
49,hsa-mir-134,-0.052690428
50,hsa-mir-4691,0.81025845
51,hsa-mir-889,-0.16499366
52,hsa-mir-199b,-0.6359453
53,hsa-mir-125b-2,1.3606076
54,hsa-mir-1237,0.048082337
55,hsa-mir-1269a,-0.039577954
56,hsa-mir-133b,1.2123042
57,hsa-mir-548l,-0.24020195
58,hsa-mir-4524a,-0.17938079
59,hsa-mir-382,-0.2028891
60,hsa-mir-487a,-0.5052924
61,hsa-mir-4733,0.37461776
62,hsa-mir-299,0.004682117
63,hsa-mir-411,-0.12407831
64,hsa-mir-654,-1.6778756
65,hsa-mir-3622a,-0.04795318
66,hsa-mir-494,0.7256286
67,hsa-mir-539,0.075217076
68,hsa-mir-1295a,0.73053277
69,hsa-mir-577,0.5814673
70,hsa-mir-377,-0.129911
71,hsa-mir-1245a,-0.44599703
72,hsa-mir-485,0.12793623
73,hsa-mir-99a,0.421231
74,hsa-mir-4742,-0.15471604
75,hsa-mir-513c,-0.17103907
76,hsa-mir-641,0.021841655
77,hsa-mir-1185-1,-0.37297064
78,hsa-mir-495,-0.16688147
79,hsa-mir-489,-1.0745904
80,hsa-mir-615,0.56393373
81,hsa-mir-152,0.34770098
82,hsa-mir-431,-0.19508857
83,hsa-mir-4802,-0.18757173
84,hsa-mir-190b,-0.55895716
85,hsa-mir-3150a,-0.023524975
86,hsa-mir-3140,0.30056947
87,hsa-mir-551a,-0.06593972
88,hsa-mir-665,0.45750904
89,hsa-mir-493,-0.031833667
90,hsa-mir-323a,0.50382787
91,hsa-mir-432,0.17459069
92,hsa-mir-541,-0.4049352
93,hsa-mir-345,-0.7601818
94,hsa-mir-369,-0.17945935
95,hsa-mir-224,-0.43278736
96,hsa-mir-487b,0.66397715
97,hsa-mir-5699,1.085697
98,hsa-mir-873,0.31181997
99,hsa-mir-4423,-0.12616143
