,genes,values
0,AQP7,-0.19989564
1,SLC6A11,-3.4796867
2,GDA,1.3385367
3,UBR5,-0.7175084
4,NOTUM,0.14047539
5,GTF2H5,-0.87913626
6,SFRP4,-0.041245576
7,NAPEPLD,-0.0053163897
8,ALDH1L1,-2.9335296
9,HTR2B,-6.566345
10,UBA52,-3.7097137
11,SLC17A7,9.84908
12,AGPAT5,-1.7929046
13,TRAM1L1,0.49017325
14,P2RX7,0.5338525
15,ATR,1.2110388
16,ATP7A,-0.0072266054
17,TEAD2,-0.77342516
18,WDR3,-0.3296544
19,HMGCS2,0.26122794
20,SGCB,-0.085009366
21,HERC1,0.9247867
22,SLCO1B3,3.053846
23,SPATA5,1.4217025
24,SOX17,0.010472392
25,CYB5RL,0.33707958
26,TTC37,0.36282954
27,KIF23,-0.1885883
28,CHSY1,-6.478357
29,VIPR1,1.7001798
30,GREM2,1.0594232
31,CSNK2B,-0.897828
32,CLDN20,3.6820347
33,PROS1,-5.6499424
34,SIX1,0.66223335
35,GPHN,-3.35808
36,HOMER2,4.596718
37,PLA2G2F,5.700505
38,TST,-4.144776
39,RPL7A,-1.0777848
40,SEC24A,-0.5393046
41,PDE4C,-0.7627832
42,LAMA2,-9.143243
43,CDC27,2.5165322
44,CNOT1,-0.4541817
45,YWHAG,0.99043703
46,TAOK1,-0.52487767
47,XPOT,5.3041987
48,ZNF490,-0.27249262
49,TTF2,-0.72069925
50,DUSP2,-2.9565175
51,NDUFA11,-1.5142834
52,TAS2R31,0.6885635
53,PIGZ,-0.8154078
54,ARSB,11.014086
55,SMCR8,-1.9436588
56,GLI3,-5.961286
57,PLA2G4E,-0.72244376
58,SLCO1B1,4.6606903
59,HOXD10,-1.2445984
60,RFC1,3.5454326
61,ITPK1,-2.7943735
62,SLC34A3,0.26795286
63,TRPC3,-3.0746334
64,ADCY1,6.041961
65,LAMP2,0.6377716
66,EEF2K,4.8940954
67,DPYD,-0.13506028
68,FN1,-4.494084
69,GRID1,1.44395
70,IGF2R,-0.20897917
71,EPHA4,-6.8243723
72,ATP6V1A,-13.128412
73,ICAM2,3.6042254
74,TLE6,-0.33510238
75,PLK3,-1.3704869
76,CHD8,-0.122561835
77,CMA1,-0.32285723
78,KSR1,0.0080796825
79,MTOR,0.010407294
80,ROR1,0.12776949
81,DLG5,1.1073916
82,RPL36A,1.6895162
83,PRKDC,0.36469716
84,PCYT1B,6.1312404
85,ARHGEF4,-4.6340833
86,ACE,-1.1066196
87,RPL13A,0.7213181
88,CARD18,-1.9202737
89,NDUFA2,-5.164713
90,GTF2E1,1.2690713
91,ANTXR1,-3.190363
92,COL5A2,-5.432486
93,TNPO1,8.392226
94,STX2,7.4403195
95,TUBB4A,5.847758
96,TNFRSF17,0.20710605
97,MKNK2,-2.7819765
98,RPL29,-4.193929
99,AHCYL2,-2.9275656
100,TOPBP1,-2.0679822
101,ASIC1,-0.715582
102,ENPP6,2.2131295
103,MMP9,7.0114865
104,PIKFYVE,10.135241
105,DNM1,-13.528766
106,SERPINB2,4.856604
107,CPB2,1.8506565
108,C3,-2.1704237
109,NPC1,2.3071318
110,THSD4,-0.87296593
111,FAN1,2.5287485
112,NKX3-1,-1.1940681
113,AMPH,3.7948766
114,LDHC,3.3345318
115,TSPO,-8.910104
116,GAS1,-1.6127028
117,RSPO3,0.11263018
118,BOC,9.491354
119,COL11A2,4.043482
120,NDUFB10,5.6961846
121,ITPKA,-5.22897
122,SEMA6B,-5.9229727
123,TMEM86B,-2.4206724
124,SF3B3,1.6665096
125,KIDINS220,0.7634077
126,FBP1,17.406065
127,RPS6,-1.6677139
128,ACSL5,16.943617
129,IFI30,-3.3289764
130,CHST6,2.030869
131,CSNK1G3,1.4387043
132,COL16A1,-2.844426
133,SEC24C,-1.6723002
134,ALDH1L2,0.21480645
135,LPAR4,-4.727342
136,HAND1,0.96157914
137,IP6K2,2.1214595
138,RPS28,2.6123981
139,AGPAT4,1.1331317
140,BRCA2,1.6306263
141,CLDN5,1.6502976
142,MED13,5.696682
143,ZNF707,0.33637094
144,COL5A1,-4.2862687
145,MYO5A,2.7338474
146,LRIG2,-3.515003
147,B3GALNT2,0.83350265
148,XRN1,3.9415538
149,ATP7B,0.25928867
150,NLGN2,-0.3503022
151,NDUFV1,-2.1576989
152,ETV1,0.7261041
153,OXTR,-0.36837527
154,DAGLA,0.0010445942
155,IL27RA,-2.477007
156,GABRQ,0.36172274
157,NDUFB7,6.503894
158,DGKG,-8.561786
159,SEMA3B,-2.992297
160,REST,1.8225318
161,CAMK2D,-23.31564
162,ENPEP,-0.08054404
163,VAMP5,-0.8550422
164,ST3GAL6,-0.10575925
165,LGR6,0.011048346
166,RNGTT,-2.385281
167,RPL13,-1.5756116
168,LIG3,-2.7331457
169,AMH,-0.10550602
170,P2RY1,3.817225
171,SFRP1,-0.044276647
172,ARPC4,-4.213679
173,PNPO,0.21598397
174,SLIT2,8.018282
175,CLDN6,-1.3854381
176,ZNF674,0.24412313
177,APCDD1L,-0.020777212
178,DIAPH3,-3.5487669
179,POMK,2.699485
180,DICER1,-0.15223128
181,DMXL1,-2.6501577
182,PPAT,4.0353346
183,EGF,-0.42325753
184,ZNF492,0.21182956
185,RPL26,1.911655
186,ST3GAL2,-1.5436186
187,NFKBIZ,1.705766
188,OR11H7,-2.0801733
189,WNT11,-6.134472
190,ZNF699,0.2027826
191,FZD1,4.9702644
192,FADS1,-0.8850912
193,SLC25A6,2.1414385
194,RXFP1,-1.5226561
195,PFN1,6.4170732
196,CALML3,10.587118
197,GSTM1,-8.714829
198,STXBP1,8.845312
199,GSPT2,3.7367063
200,DSC2,-6.0777063
201,ZFP1,-0.11384248
202,RPL18A,2.8445725
203,UCK2,-3.5288892
204,AGPS,-5.5353327
205,TP73,-3.8708267
206,COL8A1,-0.7815371
207,AR,3.5245442
208,CLTCL1,1.8320696
209,PDGFC,7.567917
210,GALNT15,6.5095453
211,PIK3C2A,-1.281808
212,PTPRZ1,-12.613842
213,ARPC3,-4.611218
214,COMP,-5.8956075
215,CUBN,2.3124266
216,LFNG,-0.2821435
217,TRIM37,0.46813473
218,ZNF132,0.40010455
219,AMDHD1,0.16502091
220,PNLDC1,0.31530628
221,SULT2A1,-0.62992126
222,CHRNA3,0.7357406
223,SAV1,0.57628804
224,MME,-3.0494742
225,CTLA4,-1.3401912
226,GPR161,1.721222
227,ACY1,0.56807065
228,KLHL13,0.52909297
229,ARNTL,4.5001864
230,STAM2,1.301495
231,THBS4,-4.6120896
232,PAK3,1.9361702
233,DBT,-0.4054747
234,NF1,-0.81465083
235,AMT,-0.98396975
236,NSD1,1.4885049
237,COL27A1,-4.9541736
238,HMMR,-12.854739
239,LATS2,-0.8096664
240,UBA7,0.9201545
241,GALNT4,-0.81613123
242,RASGRP2,-3.6717362
243,S1PR4,2.6625347
244,DOCK4,6.689559
245,KRT16,0.79029405
246,GNA13,-6.671549
247,DLL4,-4.793714
248,ROCK1,-15.486314
249,HPSE,0.5299639
250,ITCH,1.3222288
251,TP53BP1,-2.9877076
252,GTF2I,-0.4390248
253,NRCAM,0.0541786
254,CD63,1.5741756
255,SLITRK4,1.3701135
256,ADH1C,5.6693034
257,GUCY1A2,-8.271749
258,CNGA1,1.3913054
259,COX4I1,-13.04886
260,LPAR6,4.8648157
261,HEPHL1,-2.9950888
262,TAF1,0.5626846
263,MTCP1,0.8775791
264,CHRNA1,-1.2324674
265,EFNB3,4.602526
266,ERCC4,0.2561477
267,CSNK2A3,0.83907807
268,EDAR,0.36123896
269,SIRT6,-5.0767636
270,JUND,4.306058
271,XRN2,2.7629492
272,CPT1C,-19.174362
273,RPL11,-3.9557679
274,TTI1,0.28116474
275,EDNRA,3.5174646
276,F2RL2,5.275176
277,ST6GALNAC3,1.9556919
278,HNF1B,-0.43460706
279,SH3GL2,1.4142237
280,CREB1,7.874016
281,SKAP1,-4.441093
282,ACADS,-7.8999834
283,RBL1,-1.5087379
284,GLYCTK,-6.6329813
285,RBM28,-2.016736
286,ZNF98,-0.075058155
287,SDR16C5,2.5147927
288,PIAS2,-3.4375696
289,EPHA3,-9.523618
290,NTNG1,4.789567
291,NKD1,0.47979107
292,STAG1,0.01926141
293,ADH6,2.4892516
294,SIRT4,2.7039938
295,BDH1,0.7775087
