,genes,values
224,UGT2B4,6.562777
225,TAP1,0.024224175
226,COL6A6,-2.0612757
227,F10,-0.30624336
228,ST6GALNAC3,1.1252354
229,PTH1R,4.206974
230,ZNF480,0.67997426
231,GALM,-1.9326652
232,GATB,-4.539432
233,ZNF302,-3.3585176
234,CLDN9,5.24253
235,MSH2,-0.54813755
236,XPO6,-1.461784
237,ZNF878,-4.013445
238,PRKAG1,4.7603126
239,AKR7A2,-0.2176761
240,MBTPS2,-1.2447722
241,PIK3CD,-28.403093
242,AK5,3.220647
243,ALDH1A1,3.8072386
244,UBA2,-0.4413351
245,ABL1,0.045465875
246,PHLPP1,-1.7927198
247,RPS4X,1.3093035
248,ATP2A3,1.6525733
249,OR5M8,-3.2255359
250,PPP1R3F,4.845829
251,MCEE,-5.219711
252,STRADA,1.135933
253,TAF3,-2.2211146
254,ZNF74,-1.0054939
255,MUC7,0.28416035
256,GALNTL5,-0.14516306
257,PDSS2,-0.012130926
258,SLC6A2,0.60117275
259,MOCS3,-6.596564
260,SLC25A31,-7.174415
261,DBH,2.8394558
262,GPX6,1.417166
263,NDUFV2,-3.0937438
264,FBN1,-3.133831
265,PAPSS2,-7.632968
266,TPP1,0.016326332
267,DNAH6,0.067189544
268,EYA1,0.019166887
269,AMY2B,2.3145738
270,NTN4,1.1509635
271,SLC6A4,0.6114336
272,MDM4,-0.38280594
273,TICAM1,-3.454447
274,OR13F1,1.8950557
275,POLR3D,-2.9083045
276,GANC,0.30721527
277,GRM4,0.42409664
278,ZNF229,3.4686394
279,HDAC7,2.8511417
280,FLAD1,0.95154446
281,VTCN1,0.7921679
282,GNA12,-4.015927
283,KRT17,-1.3366694
284,POLR2I,0.6525382
285,CD48,-0.92334765
286,ZFP69B,-1.7366797
287,ZNF160,-3.3290737
288,FUT8,5.146972
289,PLA2G4D,1.5062667
290,GLUD1,3.527369
291,ACTA2,0.35729265
292,ZNF557,-2.7498426
293,ZNF354A,4.030689
294,CYP4F2,6.317781
295,KRT23,1.5756344
296,RHOH,-2.0946481
297,KDELR2,2.2428086
298,ZNF623,-0.31053114
299,CPA2,-1.2510091
300,ACTR10,0.041894052
301,GP6,3.0064633
302,SUOX,-0.4577438
303,SLC5A5,0.35995966
304,LPAR1,-3.9082904
305,DNAH11,-0.07769931
306,UBE2S,0.23762637
307,OR4F17,5.627198
308,ASAH1,-2.1346
309,CXCL12,-4.5479927
310,ZNF761,2.5871773
311,OR8K3,-5.5060396
312,AGL,-2.1475542
313,FGFR2,0.7015338
314,GSTT2B,5.065682
315,HTR1E,1.231981
316,COL6A2,-0.9064884
317,ZNF746,0.15056264
318,SLC34A2,-4.0548267
319,RFK,1.4502721
320,YES1,-0.67124945
321,DIS3L,-0.06826284
322,ATP2B2,5.129968
323,SEMA5A,-0.4256208
324,THBD,-0.51547307
325,SLC4A4,-0.62391776
326,COMT,-1.7954311
327,CSTF2,-1.1628393
328,RFC5,-1.9843993
329,RASGRF2,-1.624292
330,STAR,-0.004946733
331,ATP4A,-0.88514906
332,OR2A4,6.227977
333,ZNF552,3.7316213
334,H6PD,-1.598815
335,SGMS1,0.9137988
336,PSMB10,0.6574398
337,LLGL1,2.8131394
338,CMPK2,-2.2407553
339,SLC22A2,3.2711616
340,OR11L1,-1.8828076
341,CXCL5,0.052523226
342,OR6A2,-0.35342678
343,LILRB3,3.214398
344,DHX16,1.3166314
345,F13B,1.2056782
346,RFXANK,-2.3034506
347,GABRR3,0.08898092
348,PPP1R3B,1.2719109
349,OR52A5,-2.0154028
350,CHST11,-1.1925604
351,CACNA1C,17.098803
352,CYP27B1,1.5285656
353,CHMP4B,-1.2399913
354,ANAPC1,0.14571454
355,ATP6V1B1,2.4543009
356,LBP,-1.3692616
357,IPO4,0.08519332
358,LDB1,0.010359837
359,CNOT10,0.02484748
360,MINPP1,-1.9116063
361,PPP2R2D,1.3005826
362,KCNJ2,-0.5192334
363,ETV4,-0.012096255
364,KRT36,3.0167623
365,EME1,-3.9014206
366,PIP5K1C,4.566885
367,EIF2B4,-0.6724615
368,RPN1,0.45193323
369,HSP90AB1,1.3175973
370,MYH7,-4.521125
371,SRC,-10.674708
372,PPP3CB,-6.9044805
373,PAPOLG,0.7645871
374,TUBB4B,0.69095093
375,MYH9,-0.91350764
376,MSMO1,-0.2991919
377,CCDC6,-3.67373
378,KRT27,-1.8685693
379,NCBP2,-0.35560936
380,SLC39A4,3.5818698
381,CHRM3,-7.573308
382,XPO7,-0.5814024
383,NUP88,0.43676278
384,ADCY8,9.749394
385,ASAP2,-0.076478794
386,NOP56,3.547483
387,PLCZ1,0.2384885
388,BMP4,-3.273572
389,GRB2,0.44675267
390,MLKL,5.252138
391,PHKB,-2.2296827
392,MGAT1,-3.8929224
393,NMU,-2.3469365
394,HPN,-1.5098969
395,GMPR2,-2.4247239
396,GK,0.94396645
397,CHRNB3,-3.3371472
398,SIN3A,3.7994401
399,WAS,-1.7505698
400,RIPK1,3.2827032
401,LPO,0.40835398
402,LMBRD1,1.5189172
403,PGAM2,3.8218656
404,ELN,0.641563
405,CHRD,0.27455816
406,HGS,-0.4347967
407,PRPF4,1.6669128
408,CYP2R1,2.3447335
409,TAS2R46,-1.9627379
410,GTF2A1,2.7748487
411,CD37,-4.2407146
412,PRKAR2B,-4.520292
413,ZNF454,-0.45020643
414,OR2T11,4.244127
415,FBXO32,-0.8875003
416,RFX6,-0.41877574
417,ZNF324B,1.0204093
418,VAPB,-0.047110178
419,ZFYVE16,0.14583887
420,HTR3B,-1.1015565
421,SLC27A6,1.4994056
422,CDC37,-2.1251578
423,OR11G2,-1.3763435
424,OR5AK2,0.29543296
425,NUP133,1.64694
426,COQ5,-1.6500344
427,MTHFS,0.44452724
428,ACSL1,-5.1636896
429,CCDC12,-0.15904097
430,CSNK1A1L,0.65029484
431,ZNF519,-2.128255
432,CCR6,-1.5659883
433,NR1D2,0.64629006
434,RXRB,1.9968052
435,COL11A1,-0.62023133
436,HRH2,0.3141891
437,ZNF735,2.9563065
438,HSD17B12,1.2240678
439,OR10G9,-3.2066529
440,PTPRR,-0.11060003
441,CD274,-0.23163041
442,CHD4,3.6600447
443,TNFRSF9,0.2402477
444,GALK2,-0.24730283
445,ATG5,-11.461977
446,IFNE,-1.2875385
447,ZNF251,3.380599
448,ZNF91,-1.7568568
449,DBI,-2.3000212
450,SLC4A2,2.8126862
451,ZNF624,1.3836044
452,OR10G7,-0.3577254
453,UAP1,2.3806882
454,CKB,0.03827503
455,ITGA11,0.19224095
456,NDUFB4,2.276183
457,PKLR,-6.883633
458,ADAM17,-5.595509
459,RPSA,-1.8486209
460,MAPKAPK3,0.53563005
461,ST6GALNAC6,2.0475097
462,CHMP2A,0.89458555
463,HCAR2,-0.01361968
464,CACNB1,0.46236688
465,IL6ST,2.2304215
466,OR10A6,1.2783735
467,GPD2,-1.8013933
468,SEC61A1,-1.1827648
469,OR4S2,4.635371
470,SRSF8,-4.288858
471,TPCN2,2.4478369
472,NUDT16L1,-1.016439
473,B2M,0.5318231
474,PTGDR,2.7372708
475,CR2,4.053115
476,NADK,-6.5040703
477,XPA,-1.4982644
478,SLC12A5,1.3272636
479,PIGV,-3.5784512
480,VPS26A,-0.10662767
481,GGT6,-3.1328819
482,TDO2,2.7296531
483,RCE1,-1.0903789
484,UPP2,8.110407
485,ADH4,1.917586
486,TUBB,-1.5274805
487,DAGLB,-0.6883771
488,MVB12B,0.40600082
489,EIF4E2,2.5820568
490,MARS2,-3.7562294
491,WWC1,2.091716
492,ZNF157,0.5879912
493,ABCB10,0.4324026
494,GUCY2F,-1.9715642
495,FZD5,2.7595203
496,NRG1,-0.28119475
497,ETV5,0.021221165
498,NSFL1C,-1.0080955
499,LRP5,-2.7331033
500,ZNF556,-1.3372751
501,AP1B1,0.015318961
502,HNF1A,0.48050258
503,CPSF2,-0.17374822
504,SH2B1,4.1405053
505,PTDSS2,2.9832788
506,FIP1L1,-0.71868926
507,OR8H1,6.53885
508,OR5K3,-3.958054
509,PIAS4,4.685503
510,BMPR1B,0.2407717
511,NME7,6.5567703
512,KRT40,0.7991999
513,NEFH,0.032517165
514,SEC61A2,-2.4291089
515,CRK,-10.104698
516,PSMA5,-0.8472465
517,SLC5A6,-0.26301023
518,CPOX,-2.5204968
519,ATM,6.002169
520,GPX3,-4.0779486
521,UBE2N,0.38810137
522,TPH1,0.006209651
523,TLR1,2.6020904
524,OCRL,-0.9699649
525,PLA2G15,0.17627321
526,PRKAR2A,2.1169353
527,MFN1,0.037145942
528,HERC2,-0.306557
529,PYGM,-0.9499645
530,BCKDHA,-0.5103836
531,NUP98,-0.6928725
532,NADSYN1,1.6862538
533,ADIPOR1,-3.0302646
534,FRMD1,0.7208267
535,GPAT2,-2.1570294
536,ATP2A1,-5.8004074
537,LIG1,0.25604653
538,RMI1,1.2292515
539,GZMA,-2.4627554
540,DDC,-0.18102066
541,GLUL,6.479011
542,ZNF486,3.0913405
543,IDH3B,1.5131193
544,CDC7,0.07649275
545,CEL,-2.3995547
546,MT1E,2.7105777
547,AGT,4.9929237
548,AICDA,3.8275604
549,IL9R,-4.3371644
550,SEC23B,-0.7297668
551,GTF2B,-0.5882382
552,HLCS,2.985958
553,LPCAT3,-2.2199476
554,MTMR4,-3.8174808
555,NSMAF,-1.5238945
556,WT1,-0.01976496
557,SLITRK5,0.6450369
558,CD19,0.9787759
559,OR4C13,-4.4719825
560,C3AR1,-1.1023595
561,STS,-0.4901038
562,LDHAL6B,-10.677341
563,LAMC2,1.1164938
564,FBXL3,0.1819959
565,MAGI1,-2.7777123
566,TXNRD2,6.585827
567,ZNF7,-1.452757
568,RASGRF1,0.7876571
569,ZNF611,3.5806665
570,MYCN,0.018512718
571,FCGR2B,4.79008
572,FES,0.7259577
573,POU2F2,-3.2504947
574,KRT15,-0.08317871
575,WASF3,-0.21753219
576,RPL8,-2.038064
577,ZNF273,2.5991154
578,IMPDH1,-2.191326
579,VASP,10.4376955
580,ADAR,-4.967685
581,KIR2DL1,1.0066297
582,EGR2,-0.045727227
583,CHEK1,3.215463
584,COX6A1,-0.30278003
585,TGFBR1,-2.5161402
586,OR4D2,6.0124125
587,RGMA,-0.47168186
588,ABCB11,-0.015464989
589,AMOTL2,2.5343907
590,PTGIS,2.2149775
591,HS3ST3B1,0.3968711
592,ZNF677,-0.99850684
593,SMC1B,1.808401
594,MIOX,-1.2817706
595,LIMD1,-2.0373144
596,SSH3,0.18230423
597,EDEM3,1.7139449
598,FANCD2,4.117405
599,PRDM4,-2.106532
600,SRSF2,0.64731455
601,LMNB2,1.9814345
602,PRKCH,0.29410648
603,PRPH,-0.029342143
604,ZNF564,2.5758634
605,CAMKK2,4.0711346
606,ACOT8,-2.8535357
607,PYGB,3.339784
608,MYL6,-3.4541316
609,IFI16,-0.6235335
610,MCM5,-1.534689
611,ERCC1,1.8688523
612,IRS2,0.2911309
613,CHRNA10,3.4780996
614,SEMA3C,0.149661
615,PPM1D,1.9071099
616,CASP2,0.669047
617,KRT34,0.1418187
618,ZNF23,3.865138
619,TRPV1,-4.027287
620,CR1,1.0743464
621,GALNT3,2.8028982
622,RNASEH2C,3.4050682
623,UQCRFS1,-1.7165452
624,EFNB1,-0.544968
625,DNAH1,-0.108485125
626,NEU3,-1.385424
627,ZNF124,0.22611618
628,RPS2,0.026249165
629,RBP2,-4.6370487
630,KCNQ3,-5.261863
631,SCTR,2.4286623
632,STX1B,-0.7489819
633,PTH2R,-0.087196276
634,CPSF4,0.498951
635,CTNS,-0.006844428
636,OR13G1,-1.688909
637,ZNF300,3.6944754
638,TOP3A,-0.7060267
639,SH3GL3,-0.6156924
640,ZNF440,2.2074418
641,ALYREF,0.23506951
642,ALS2,-0.0691232
643,SEMA6D,0.7286326
644,ITGA3,0.61100066
645,FCER1A,0.1989412
646,RAB11FIP2,0.6318334
647,ABCD2,-3.0528145
648,GSTO2,1.1814444
649,TXNRD3,3.1945968
650,TNFRSF11B,-0.8491566
651,DIO2,-0.35230404
652,EFNA5,-3.4648068
653,COASY,-0.3795298
654,GCNT1,-0.55069786
655,MAP4K1,0.032153934
656,ALDH18A1,-1.4275333
657,SULT1A1,-0.9918101
658,PDE8A,-0.62633723
659,CASP5,-0.8795772
660,OR10R2,-5.2314377
661,SRR,1.8894907
662,HSPA4,2.1279259
663,RPL18,0.09443312
664,P4HB,2.5899384
665,RAD21,2.8290806
666,LILRB4,1.8657027
667,FANCG,2.0858383
668,OR9G4,-4.792905
669,CCNE1,-3.8003619
670,IL31,-3.6351047
671,SNAI1,-0.29852545
672,AGAP6,-1.0975084
673,BMP10,-0.41218108
674,CTSF,-0.8549147
675,RPRM,0.086408414
676,KCNMB3,1.3301561
677,RNF7,-0.29014972
678,IL33,-3.2538626
679,POU2F1,3.8435771
680,GNPAT,7.3508143
681,OR4K14,4.3342333
682,SERPINA1,-0.17555636
683,NDST1,4.5801134
684,OR8A1,5.4204583
685,CRLS1,0.74706894
686,REV3L,1.5480182
687,HSD11B2,1.4717269
688,ALG1,-3.5688062
689,ST6GALNAC1,-0.15215063
690,OR4K17,-5.359297
691,MNAT1,-0.4963912
692,RASGRP4,-3.2142293
693,GABBR2,-2.3555665
694,SHISA5,0.50403464
695,OR4D9,-1.6408684
696,SLC9A6,-0.76796335
697,NCEH1,2.1861503
698,ABCD1,-1.9369243
699,TRPV5,-0.96288043
700,OR8U1,2.7004032
701,OR1M1,-1.303098
702,PARP3,0.6297737
703,ITPR3,15.705333
704,FUS,-0.7141393
705,EIF2AK4,-2.3791542
706,SOD1,-1.1474607
707,ADCY3,-0.8233368
708,INPPL1,4.227368
709,UBA1,-0.025557274
710,TG,-0.43344212
711,ATP6AP1,-3.861537
712,LYN,13.631834
713,SLC38A2,0.4797067
714,IFIH1,-1.6823171
715,BAK1,-7.2255173
716,NFS1,9.038838
717,PC,1.9589081
718,SLC32A1,-1.5198282
719,ZNF222,0.6483038
720,PROM1,-0.010586646
721,RPL10A,2.1249197
722,THRB,2.5000684
723,EHD3,0.26026255
724,SELENBP1,-0.14331675
725,IL27,2.268234
726,IP6K1,-1.3270875
727,ARPC2,1.5834647
728,PEX5,1.9119539
729,FBXW8,-0.18709873
730,DNAJA1,-0.018977359
731,DVL3,1.5439242
732,NDUFA13,0.6756708
